,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-233,1996,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13,Matches,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-153,1996,10.8,739,50,204,425,116,3,739,18,6,33.3,12,66.7,444,2777,1292,15,15,0,18,7,511,2,Matches,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-025,2004,3.0,173,9,49,101,24,1,173,3,2,66.7,0,0.0,100,517,297,7,5,1,3,6,115,8,Matches,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-362,1991,1.3,80,20,53,25,2,1,80,0,0,,0,,33,115,35,0,0,0,1,0,39,0,Matches,,,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-018,2000,2.5,156,24,63,89,5,5,156,3,1,33.3,1,33.3,82,350,171,0,0,0,1,0,101,0,Matches,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-041,1996,18.4,725,18,84,260,397,97,724,79,33,41.8,40,50.6,416,3227,1594,67,29,36,37,41,453,112,Matches,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-205,2003,2.7,235,12,70,97,70,16,235,4,3,75.0,1,25.0,124,721,379,11,5,4,3,1,141,15,Matches,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-217,2002,13.1,661,87,348,284,33,11,661,4,2,50.0,1,25.0,306,1645,988,6,11,2,5,2,395,1,Matches,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-111,1997,6.4,421,32,128,179,118,9,421,6,3,50.0,1,16.7,224,1035,559,8,9,0,5,3,275,28,Matches,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-287,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches,,,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-300,1998,3.5,132,6,24,65,51,5,132,20,12,60.0,7,35.0,73,630,353,11,8,1,3,5,96,15,Matches,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-142,2001,1.8,65,3,9,19,41,11,65,11,5,45.5,5,45.5,32,403,202,8,5,3,7,7,46,15,Matches,,,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-206,1997,5.6,267,8,33,93,147,26,267,21,8,38.1,10,47.6,170,1223,553,19,12,8,17,5,176,50,Matches,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-036,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Matches,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-082,1998,14.8,798,127,403,382,16,6,798,2,0,0.0,2,100.0,429,2153,1102,1,2,0,2,2,520,1,Matches,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-038,2004,12.7,652,20,100,329,235,27,652,66,22,33.3,40,60.6,362,2219,1043,33,22,7,38,29,399,54,Matches,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-101,1995,10.0,618,136,360,222,36,19,618,0,0,,0,,307,1454,756,2,3,0,2,0,372,3,Matches,,,,,,
