,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-229,1997,20.7,510,21,43,236,242,66,508,30,9,30.0,17,56.7,263,1377,658,27,16,6,43,30,373,90,Matches
Stephy Mavididi,engENG,FW,Leicester City,26-257,1998,14.3,686,19,101,265,333,48,686,76,28,36.8,42,55.3,461,3362,1804,68,32,20,34,30,493,103,Matches
Konstantinos Mavropanos,grGRE,DF,West Ham,27-063,1997,15.6,1038,151,530,464,51,19,1038,14,8,57.1,4,28.6,570,2908,1617,12,8,1,9,0,665,2,Matches
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-090,1997,20.4,1417,88,517,689,231,22,1417,34,21,61.8,11,32.4,784,3724,1884,26,20,3,16,14,863,41,Matches
Bryan Mbeumo,cmCMR,FW,Brentford,25-189,1999,23.9,1130,40,167,353,628,98,1126,65,30,46.2,27,41.5,667,4305,2243,84,49,50,69,29,754,233,Matches
James Mcatee,engENG,"MF,FW",Manchester City,22-117,2002,1.0,64,0,7,27,30,6,64,4,1,25.0,3,75.0,35,215,97,3,1,0,0,1,48,8,Matches
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-082,2001,4.3,189,15,45,74,76,15,189,9,1,11.1,5,55.6,111,749,364,13,7,6,5,4,123,36,Matches
Alex McCarthy,engENG,GK,Southampton,35-071,1989,5.0,173,141,173,0,0,0,173,0,0,,0,,100,452,276,0,0,0,0,0,88,0,Matches
John McGinn,sctSCO,"MF,FW",Aston Villa,30-117,1994,15.1,583,9,77,300,212,37,583,30,11,36.7,10,33.3,315,1669,733,22,12,4,25,17,418,62,Matches
Dwight McNeil,engENG,"MF,FW",Everton,25-082,1999,12.7,619,2,61,267,305,18,619,37,20,54.1,16,43.2,358,2224,930,31,28,4,22,24,416,65,Matches
Scott McTominay,sctSCO,MF,Manchester Utd,28-066,1996,0.2,14,1,3,8,3,1,14,1,0,0.0,1,100.0,10,68,44,0,0,0,1,1,9,2,Matches
Ben Mee,engENG,DF,Brentford,35-144,1989,2.0,138,18,66,62,11,3,138,0,0,,0,,78,404,274,3,1,1,0,0,86,2,Matches
Jayden Meghoma,engENG,DF,Brentford,18-229,2006,0.1,3,1,2,0,1,0,3,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches
Mikel Merino,esESP,MF,Arsenal,28-235,1996,8.5,457,24,96,192,177,39,457,9,5,55.6,2,22.2,236,818,331,5,7,3,12,10,299,47,Matches
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-123,1997,23.0,835,159,451,331,56,45,835,1,1,100.0,0,0.0,325,1332,633,2,1,1,1,2,424,4,Matches
Lewis Miley,engENG,MF,Newcastle Utd,18-287,2006,0.4,53,1,12,34,8,0,53,0,0,,0,,29,125,62,0,0,0,2,0,36,1,Matches
James Milner,engENG,MF,Brighton,39-039,1986,1.9,92,3,13,48,31,4,92,1,1,100.0,0,0.0,46,223,97,1,1,0,0,0,58,10,Matches
Tyrone Mings,engENG,DF,Aston Villa,31-336,1993,5.2,360,60,202,147,14,5,360,0,0,,0,,214,1242,600,1,3,0,1,0,263,0,Matches
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-205,2004,9.3,397,11,51,108,250,69,397,62,28,45.2,30,48.4,234,1798,1078,41,14,32,22,9,236,106,Matches
Tyrick Mitchell,engENG,DF,Crystal Palace,25-164,1999,23.2,1225,82,415,474,347,32,1225,24,10,41.7,11,45.8,574,2725,1261,45,27,6,27,22,643,121,Matches
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-268,1997,21.0,986,10,107,343,556,125,986,94,38,40.4,53,56.4,612,4926,2870,110,58,47,40,19,712,230,Matches
Jakub Moder,plPOL,MF,Brighton,25-311,1999,0.1,27,2,7,12,9,1,27,0,0,,0,,13,93,62,2,3,0,0,0,14,0,Matches
Mikey Moore,engENG,"FW,MF",Tottenham,17-185,2007,2.1,96,1,10,22,65,12,96,11,1,9.1,9,81.8,68,521,239,9,3,4,6,4,73,30,Matches
Morato,brBRA,DF,Nott'ham Forest,23-227,2001,5.9,269,63,174,81,15,1,269,1,1,100.0,0,0.0,84,423,206,0,2,0,5,2,100,1,Matches
Álex Moreno,esESP,DF,Nott'ham Forest,31-249,1993,9.0,474,50,175,175,135,7,474,19,7,36.8,7,36.8,202,1329,793,24,16,3,11,5,221,28,Matches
Sam Morsy,egEGY,MF,Ipswich Town,33-155,1991,21.1,1216,59,343,703,181,4,1216,17,11,64.7,5,29.4,629,3359,1410,10,18,1,12,8,832,9,Matches
Yerson Mosquera,coCOL,DF,Wolves,23-286,2001,4.9,294,43,170,115,12,7,294,0,0,,0,,168,683,322,0,1,0,4,1,182,0,Matches
Mason Mount,engENG,"MF,FW",Manchester Utd,26-033,1999,2.7,119,1,18,65,36,6,119,4,0,0.0,3,75.0,74,323,102,2,2,0,4,4,86,5,Matches
Divin Mubama,engENG,FW,Manchester City,20-110,2004,0.3,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,0,1,3,0,Matches
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-038,2001,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12,Matches
Rodrigo Muniz,brBRA,FW,Fulham,23-284,2001,7.5,213,9,18,108,91,37,213,13,4,30.8,6,46.2,106,447,136,4,3,1,28,16,161,25,Matches
Daniel Muñoz,coCOL,DF,Crystal Palace,28-262,1996,22.0,1255,81,345,524,399,67,1255,38,13,34.2,23,60.5,483,2361,940,30,19,10,36,11,600,135,Matches
Arijanet Muric,xkKVX,GK,Ipswich Town,26-097,1998,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0,Matches
Murillo,brBRA,DF,Nott'ham Forest,22-223,2002,22.5,1162,272,609,494,71,15,1162,24,20,83.3,4,16.7,505,2627,1590,12,20,1,12,8,579,4,Matches
Jacob Murphy,engENG,FW,Newcastle Utd,29-354,1995,14.9,710,13,98,280,339,50,710,32,14,43.8,17,53.1,444,2616,1388,47,19,18,21,23,515,128,Matches
Vitaliy Mykolenko,uaUKR,DF,Everton,25-259,1999,20.2,980,79,321,422,243,17,980,13,4,30.8,6,46.2,380,1583,882,22,12,0,10,6,480,51,Matches
Iliman Ndiaye,snSEN,FW,Everton,24-343,2000,20.6,832,29,177,343,359,64,831,123,58,47.2,56,45.5,478,3898,1950,71,37,27,41,35,504,95,Matches
Wilfred Ndidi,ngNGA,MF,Leicester City,28-058,1996,13.5,735,69,262,339,141,36,735,23,11,47.8,11,47.8,370,1517,579,9,11,2,21,21,436,49,Matches
Kosta Nedeljković,rsSRB,DF,Aston Villa,19-058,2005,1.4,66,4,15,32,19,0,66,2,1,50.0,1,50.0,27,101,33,1,0,0,1,0,32,0,Matches
Reiss Nelson,engENG,FW,Arsenal,25-064,1999,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0,Matches
Reiss Nelson,engENG,FW,Fulham,25-064,1999,5.4,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63,Matches
Neto,brBRA,GK,Bournemouth,35-208,1989,2.0,70,60,70,0,0,0,70,0,0,,0,,35,148,99,0,0,0,0,0,28,0,Matches
Pedro Neto,ptPOR,FW,Chelsea,24-340,2000,12.6,574,5,59,179,346,61,574,62,22,35.5,24,38.7,383,3354,1842,75,34,29,22,13,427,109,Matches
Eddie Nketiah,engENG,"MF,FW",Crystal Palace,25-258,1999,7.0,262,5,27,106,133,39,262,14,7,50.0,5,35.7,155,1202,662,30,16,11,18,12,189,51,Matches
Christopher Nkunku,frFRA,FW,Chelsea,27-090,1997,5.1,240,7,30,87,123,27,240,16,6,37.5,8,50.0,153,686,283,8,7,8,8,5,184,40,Matches
Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-169,1998,9.9,705,20,119,230,359,47,705,25,11,44.0,10,40.0,439,2412,1271,39,14,21,16,8,508,121,Matches
Darwin Núñez,uyURU,FW,Liverpool,25-233,1999,9.2,252,8,33,84,143,50,252,17,8,47.1,8,47.1,140,807,461,19,15,9,14,15,170,59,Matches
Ethan Nwaneri,engENG,"MF,FW",Arsenal,17-328,2007,3.2,168,2,19,66,85,9,168,15,9,60.0,4,26.7,117,944,484,14,11,5,8,7,125,24,Matches
Christian Nørgaard,dkDEN,MF,Brentford,30-339,1994,18.8,1102,110,390,517,207,35,1102,11,5,45.5,4,36.4,530,2056,865,9,9,3,23,16,669,30,Matches
Jake O'Brien,ieIRL,DF,Everton,23-273,2001,3.5,200,17,100,73,28,2,200,7,2,28.6,4,57.1,87,334,133,1,1,1,2,0,99,4,Matches
Matt O'Riley,dkDEN,MF,Brighton,24-083,2000,5.2,288,12,49,136,103,23,288,6,3,50.0,3,50.0,143,582,284,9,6,2,8,1,169,25,Matches
Dara O'Shea,ieIRL,DF,Ipswich Town,25-345,1999,20.7,1289,246,743,468,80,34,1289,2,1,50.0,1,50.0,601,2539,1246,3,1,0,8,3,755,1,Matches
Wilson Odobert,frFRA,FW,Tottenham,20-076,2004,1.8,105,2,11,29,65,13,105,10,3,30.0,6,60.0,76,626,410,13,10,6,4,4,80,18,Matches
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-287,1997,2.6,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15,Matches
Caleb Okoli,itITA,DF,Leicester City,23-214,2001,9.2,616,121,343,255,21,7,616,0,0,,0,,353,1775,860,3,1,0,7,2,364,2,Matches
Robin Olsen,seSWE,GK,Aston Villa,35-035,1990,0.5,25,20,25,0,0,0,25,0,0,,0,,11,45,33,0,0,0,0,0,16,0,Matches
Amadou Onana,beBEL,MF,Aston Villa,23-180,2001,12.0,662,49,185,387,103,15,662,14,9,64.3,3,21.4,359,1697,802,13,15,0,7,7,435,10,Matches
André Onana,cmCMR,GK,Manchester Utd,28-316,1996,24.0,1002,734,982,20,0,0,1002,0,0,,0,,729,3705,2067,0,0,0,1,0,644,0,Matches
Paul Onuachu,ngNGA,FW,Southampton,30-260,1994,6.0,241,9,26,135,82,33,241,17,7,41.2,6,35.3,113,491,172,5,2,1,27,22,196,15,Matches
Frank Onyeka,ngNGA,MF,Brentford,27-042,1998,0.3,10,0,1,5,4,0,10,0,0,,0,,6,55,14,0,0,0,2,1,6,0,Matches
Lewis Orford,engENG,MF,West Ham,18-360,2006,0.5,42,1,8,28,7,2,42,0,0,,0,,22,98,27,0,0,0,1,0,31,1,Matches
Stefan Ortega,deGER,GK,Manchester City,32-098,1992,9.0,358,272,356,2,0,0,358,0,0,,0,,232,1079,598,0,0,0,0,0,220,0,Matches
William Osula,dkDEN,"FW,MF",Newcastle Utd,21-192,2003,0.5,15,0,0,7,8,2,15,1,1,100.0,0,0.0,8,51,14,1,1,0,3,3,9,5,Matches
Dango Ouattara,bfBFA,FW,Bournemouth,23-001,2002,13.8,604,43,113,188,314,78,604,48,23,47.9,22,45.8,294,2165,1087,48,19,24,34,20,354,132,Matches
Nico O’Reilly,engENG,MF,Manchester City,19-328,2005,0.2,17,1,1,12,4,0,17,1,0,0.0,1,100.0,13,83,26,1,1,0,1,0,14,0,Matches
Cole Palmer,engENG,MF,Chelsea,22-282,2002,23.3,1225,10,88,564,589,87,1222,72,29,40.3,31,43.1,778,5094,2544,80,52,23,43,22,899,124,Matches
Emerson Palmieri,itITA,DF,West Ham,30-193,1994,18.1,1015,60,322,428,277,22,1015,22,7,31.8,14,63.6,420,2283,1246,31,20,8,19,7,553,63,Matches
Lucas Paquetá,brBRA,"MF,FW",West Ham,27-169,1997,17.9,1125,37,224,615,296,43,1123,26,11,42.3,14,53.8,547,1891,733,13,20,2,35,41,775,56,Matches
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-244,1993,20.6,1442,51,313,767,368,21,1442,18,9,50.0,7,38.9,782,3843,1932,18,21,1,17,11,1001,26,Matches
Nathan Patterson,sctSCO,"DF,FW",Everton,23-119,2001,1.4,99,4,20,45,36,3,99,7,6,85.7,0,0.0,40,186,105,4,2,2,3,1,52,7,Matches
Andreas Pereira,brBRA,MF,Fulham,29-042,1996,14.2,785,12,109,326,359,21,784,17,6,35.3,5,29.4,407,1827,887,13,24,3,18,13,479,48,Matches
Ricardo Pereira,ptPOR,DF,Leicester City,31-129,1993,1.6,97,3,28,56,13,1,97,0,0,,0,,57,123,33,1,0,1,1,0,55,3,Matches
Kalvin Phillips,engENG,MF,Ipswich Town,29-072,1995,9.6,527,40,162,276,91,4,527,8,4,50.0,4,50.0,243,1190,468,4,5,0,17,7,293,2,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-004,2002,3.7,145,4,27,54,66,14,145,15,4,26.7,8,53.3,75,520,239,7,5,7,7,3,83,17,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Ipswich Town,23-004,2002,1.5,58,0,18,19,22,4,58,4,2,50.0,2,50.0,38,354,111,7,3,2,4,7,40,9,Matches
Jordan Pickford,engENG,GK,Everton,30-342,1994,23.0,1026,668,976,51,0,0,1026,0,0,,0,,539,3401,1980,0,0,0,1,0,483,0,Matches
Ethan Pinnock,jmJAM,DF,Brentford,31-259,1993,16.0,1055,239,610,347,99,21,1055,9,3,33.3,6,66.7,511,2460,1197,2,3,0,1,4,593,8,Matches
Daniel Podence,ptPOR,"MF,FW",Wolves,29-114,1995,0.5,20,0,2,11,7,0,20,2,2,100.0,0,0.0,13,77,43,1,1,0,0,0,17,3,Matches
Alfie Pond,engENG,DF,Wolves,20-348,2004,0.0,1,0,0,1,0,0,1,0,0,,0,,1,2,2,0,0,0,0,0,1,0,Matches
Nick Pope,engENG,GK,Newcastle Utd,32-299,1992,15.0,492,399,485,7,0,0,492,0,0,,0,,268,1444,943,0,0,0,0,1,170,0,Matches
Pedro Porro,esESP,DF,Tottenham,25-152,1999,22.1,1683,101,503,595,597,25,1683,25,9,36.0,14,56.0,884,4132,2159,53,35,4,18,15,973,82,Matches
Jarell Quansah,engENG,DF,Liverpool,22-014,2003,2.5,200,23,100,82,18,2,200,2,1,50.0,1,50.0,124,732,411,2,3,1,3,2,136,2,Matches
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-122,2001,1.6,72,60,71,1,0,0,72,0,0,,0,,44,191,80,0,0,0,0,0,36,0,Matches
Aaron Ramsdale,engENG,GK,Southampton,26-274,1998,16.0,734,530,723,12,0,0,734,0,0,,0,,472,2421,1465,0,0,0,0,0,424,0,Matches
Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-260,2001,11.1,476,9,88,177,218,41,476,30,18,60.0,9,30.0,316,2126,990,35,19,12,23,14,363,67,Matches
Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-104,1997,10.9,440,3,35,189,222,34,440,39,9,23.1,26,66.7,293,1694,728,20,19,12,14,6,341,79,Matches
David Raya,esESP,GK,Arsenal,29-150,1995,24.0,916,566,871,45,0,0,916,0,0,,0,,571,2859,1708,0,0,0,1,0,518,0,Matches
Harrison Reed,engENG,MF,Fulham,30-016,1995,0.7,56,1,7,19,31,4,56,1,0,0.0,0,0.0,22,70,17,1,1,0,2,2,27,7,Matches
Remy Rees-Dottin,engENG,FW,Bournemouth,18-343,2006,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Reguilón,esESP,DF,Tottenham,28-058,1996,1.4,121,2,28,61,33,3,121,4,2,50.0,0,0.0,64,293,180,4,2,1,1,1,74,10,Matches
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-010,1993,4.9,186,9,31,80,75,13,186,7,0,0.0,5,71.4,114,530,270,8,4,4,7,5,129,27,Matches
Chadi Riad,maMAR,DF,Crystal Palace,21-240,2003,1.0,90,5,41,49,1,0,90,0,0,,0,,58,318,232,2,0,0,1,0,69,0,Matches
Declan Rice,engENG,MF,Arsenal,26-029,1999,19.3,1248,40,208,596,453,41,1248,19,8,42.1,10,52.6,660,4215,2261,61,39,10,22,15,812,55,Matches
Chris Richards,usUSA,DF,Crystal Palace,24-321,2000,10.9,601,67,312,263,29,8,601,3,0,0.0,3,100.0,282,1216,570,3,2,0,3,2,350,1,Matches
Richarlison,brBRA,FW,Tottenham,27-278,1997,3.1,116,8,19,62,36,12,116,9,1,11.1,7,77.8,56,310,138,8,7,3,4,5,79,17,Matches
Andrew Robertson,sctSCO,DF,Liverpool,30-338,1994,18.3,1452,60,360,664,438,31,1452,8,3,37.5,4,50.0,779,3480,1990,43,38,3,17,7,979,66,Matches
Antonee Robinson,usUSA,DF,Fulham,27-188,1997,24.0,1761,90,557,676,555,51,1761,56,25,44.6,21,37.5,944,5087,2997,84,40,22,27,13,1061,193,Matches
Rodri,esESP,MF,Manchester City,28-235,1996,0.7,65,1,12,30,24,0,65,1,0,0.0,0,0.0,34,125,42,0,2,0,0,0,49,1,Matches
Guido Rodríguez,arARG,MF,West Ham,30-306,1994,11.3,615,42,196,365,55,2,615,3,2,66.7,0,0.0,284,988,392,2,5,0,1,6,354,5,Matches
Mads Roerslev,dkDEN,DF,Brentford,25-233,1999,12.2,645,49,234,268,146,20,645,19,7,36.8,8,42.1,352,1630,858,17,13,0,9,6,407,54,Matches
Morgan Rogers,engENG,"MF,FW",Aston Villa,22-201,2002,21.1,836,25,131,367,357,92,836,99,42,42.4,45,45.5,477,3568,2135,76,49,22,68,47,577,112,Matches
Cristian Romero,arARG,DF,Tottenham,26-291,1998,10.8,981,112,402,531,54,16,981,3,1,33.3,1,33.3,656,3423,2136,10,16,0,4,3,672,2,Matches
Georginio Rutter,frFRA,"FW,MF",Brighton,22-298,2002,14.1,499,18,66,183,262,64,499,54,20,37.0,27,50.0,286,2082,1268,38,32,13,33,23,325,66,Matches
José Sá,ptPOR,GK,Wolves,32-026,1993,17.0,590,467,583,8,0,0,590,6,6,100.0,0,0.0,366,2303,1410,0,0,0,1,0,280,0,Matches
Bukayo Saka,engENG,"FW,MF",Arsenal,23-160,2001,14.1,733,6,40,163,536,115,732,73,33,45.2,29,39.7,463,3196,1846,72,19,37,24,35,526,195,Matches
Mohamed Salah,egEGY,FW,Liverpool,32-242,1992,22.5,1011,9,52,298,671,231,1005,81,39,48.1,39,48.1,709,4284,2186,98,35,86,64,46,865,298,Matches
William Saliba,frFRA,DF,Arsenal,23-325,2001,21.3,1693,120,689,940,73,11,1693,12,8,66.7,4,33.3,1038,4442,2202,9,7,0,12,4,1260,2,Matches
Robert Sánchez,esESP,GK,Chelsea,27-086,1997,21.0,910,661,900,10,0,0,910,0,0,,0,,614,2822,1789,0,0,0,0,0,578,0,Matches
Jadon Sancho,engENG,FW,Chelsea,24-324,2000,12.4,608,9,78,183,354,77,608,67,35,52.2,27,40.3,413,2905,1645,66,25,35,20,12,478,138,Matches
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-072,1997,2.5,155,5,37,99,21,7,155,0,0,,0,,60,231,67,0,2,0,3,1,80,2,Matches
Pablo Sarabia,esESP,"MF,FW",Wolves,32-277,1992,4.7,247,2,31,121,95,13,247,9,4,44.4,3,33.3,140,681,366,9,9,0,8,6,164,32,Matches
Jeremy Sarmiento,ecECU,MF,Brighton,22-241,2002,0.1,8,0,0,6,2,0,8,0,0,,0,,6,61,10,0,0,0,1,0,7,2,Matches
Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,26-353,1998,17.7,639,24,100,241,306,81,639,32,9,28.1,17,53.1,360,2156,1188,44,29,21,46,29,436,113,Matches
Sávio,brBRA,"FW,MF",Manchester City,20-308,2004,13.0,731,8,34,168,541,104,731,79,39,49.4,24,30.4,525,4309,2489,94,31,51,33,23,567,153,Matches
Oliver Scarles,engENG,DF,West Ham,19-062,2005,1.3,82,5,30,27,27,2,82,4,1,25.0,3,75.0,33,172,86,2,2,1,4,0,37,13,Matches
Dane Scarlett,engENG,FW,Tottenham,20-325,2004,0.1,2,0,0,2,0,0,2,0,0,,0,,1,24,21,1,0,0,0,0,0,0,Matches
Kevin Schade,deGER,FW,Brentford,23-077,2001,12.9,431,17,63,124,250,67,431,44,13,29.5,25,56.8,237,1760,790,34,16,17,28,21,291,89,Matches
Fabian Schär,chSUI,DF,Newcastle Utd,33-054,1991,18.8,1377,169,720,576,90,18,1377,10,7,70.0,1,10.0,901,4182,2439,12,18,1,6,2,961,14,Matches
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-051,1992,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9,Matches
Alex Scott,engENG,MF,Bournemouth,21-175,2003,2.9,191,10,38,97,58,5,191,13,2,15.4,7,53.8,112,628,290,5,3,1,5,3,117,14,Matches
Matz Sels,beBEL,GK,Nott'ham Forest,32-352,1992,24.0,690,518,676,14,0,0,690,0,0,,0,,352,2057,1043,0,0,0,0,0,274,0,Matches
Nélson Semedo,ptPOR,DF,Wolves,31-088,1993,18.9,997,91,324,458,226,15,997,41,21,51.2,15,36.6,501,3086,1696,40,24,8,22,9,565,66,Matches
Antoine Semenyo,ghGHA,FW,Bournemouth,25-036,2000,22.4,1064,31,138,360,593,135,1064,93,50,53.8,36,38.7,647,5011,2451,95,49,49,58,50,738,196,Matches
Marcos Senesi,arARG,DF,Bournemouth,27-278,1997,10.2,698,59,305,339,63,12,698,8,5,62.5,3,37.5,432,2287,1306,11,14,0,5,5,437,3,Matches
Ryan Sessegnon,engENG,"MF,FW",Fulham,24-270,2000,0.2,11,0,4,6,2,0,11,0,0,,0,,5,54,43,0,1,0,0,2,4,0,Matches
Luke Shaw,engENG,DF,Manchester Utd,29-215,1995,0.8,107,3,46,56,5,0,107,0,0,,0,,86,335,143,1,2,0,1,0,93,0,Matches
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-218,2005,0.0,3,0,1,0,2,0,3,0,0,,0,,1,6,6,0,0,0,0,0,2,0,Matches
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-186,1994,21.3,1380,31,232,537,623,121,1380,46,22,47.8,20,43.5,863,5659,2851,77,47,27,16,26,1025,156,Matches
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-195,1999,7.9,300,18,77,82,152,39,300,28,9,32.1,11,39.3,149,982,540,17,10,7,23,11,165,45,Matches
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-285,2006,0.3,13,3,7,4,2,0,13,1,0,0.0,1,100.0,4,26,11,1,0,0,1,0,3,1,Matches
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-100,2005,1.1,123,9,61,59,3,1,123,1,0,0.0,0,0.0,79,376,190,1,0,0,1,0,101,0,Matches
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-240,1999,2.3,118,5,10,29,79,18,118,16,7,43.8,7,43.8,73,551,278,14,4,7,4,2,78,29,Matches
Oliver Skipp,engENG,MF,Leicester City,24-149,2000,8.5,424,21,99,270,59,5,424,9,4,44.4,5,55.6,243,987,492,13,7,1,10,5,290,13,Matches
William Smallbone,ieIRL,MF,Southampton,24-357,2000,3.6,195,7,26,90,80,11,195,2,2,100.0,0,0.0,81,307,157,3,6,0,8,3,121,15,Matches
Adam Smith,engENG,DF,Bournemouth,33-289,1991,11.5,507,29,173,222,115,3,507,11,4,36.4,4,36.4,217,783,370,7,12,0,10,5,224,16,Matches
Emile Smith Rowe,engENG,MF,Fulham,24-199,2000,15.9,861,17,117,398,355,41,861,26,14,53.8,10,38.5,574,2882,1534,44,31,10,24,12,671,83,Matches
Dominic Solanke,engENG,FW,Tottenham,27-151,1997,17.8,502,25,49,229,230,93,502,42,14,33.3,26,61.9,281,1584,658,27,20,13,44,35,338,71,Matches
Carlos Soler,esESP,"MF,FW",West Ham,28-041,1997,11.0,552,14,126,285,145,16,552,15,6,40.0,8,53.3,252,1203,495,11,13,4,7,10,371,20,Matches
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-165,1999,2.7,124,4,28,35,64,11,124,10,7,70.0,3,30.0,62,505,269,10,6,4,5,5,66,14,Matches
Tomáš Souček,czCZE,MF,West Ham,29-351,1995,18.9,848,81,230,435,187,72,848,7,4,57.1,3,42.9,327,996,358,4,8,2,13,8,503,42,Matches
Boubakary Soumaré,frFRA,MF,Leicester City,25-351,1999,13.3,861,39,228,541,102,10,861,29,17,58.6,8,27.6,514,2283,1170,16,7,2,15,13,607,11,Matches
Djed Spence,engENG,DF,Tottenham,24-187,2000,7.6,594,33,214,265,123,10,594,34,19,55.9,13,38.2,333,1888,1031,21,15,3,9,12,372,32,Matches
Jay Stansfield,engENG,MF,Fulham,22-080,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Jason Steele,engENG,GK,Brighton,34-178,1990,2.0,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0,Matches
Jack Stephens,engENG,DF,Southampton,31-016,1994,8.9,695,70,282,342,75,5,695,3,0,0.0,3,100.0,386,1846,929,11,9,0,1,1,512,1,Matches
Raheem Sterling,engENG,"FW,MF",Arsenal,30-066,1994,2.4,132,1,3,28,102,23,132,16,8,50.0,3,18.8,98,731,426,14,5,11,5,9,101,36,Matches
Ross Stewart,sctSCO,"FW,MF",Southampton,28-216,1996,1.5,61,5,13,30,18,2,61,2,1,50.0,1,50.0,34,144,54,1,0,0,1,5,46,5,Matches
Jakub Stolarczyk,plPOL,GK,Leicester City,24-055,2000,6.0,241,179,236,6,0,0,241,0,0,,0,,130,592,396,0,0,0,1,0,131,0,Matches
John Stones,engENG,"DF,MF",Manchester City,30-260,1994,5.1,384,31,118,201,67,4,384,1,1,100.0,0,0.0,253,1851,1020,10,13,0,1,0,289,1,Matches
Jørgen Strand Larsen,noNOR,FW,Wolves,25-006,2000,20.4,475,27,65,229,182,71,475,10,4,40.0,6,60.0,215,771,279,9,7,6,57,21,337,63,Matches
Yukinari Sugawara,jpJPN,DF,Southampton,24-229,2000,13.0,833,52,252,335,249,21,833,14,8,57.1,5,35.7,441,2136,1169,25,14,5,13,3,561,57,Matches
Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,22-363,2002,3.4,156,7,26,48,84,14,156,24,8,33.3,14,58.3,107,786,377,13,7,8,12,9,112,22,Matches
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-105,2001,8.7,372,9,47,147,181,38,372,39,13,33.3,18,46.2,207,1463,762,29,15,13,20,16,259,71,Matches
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-141,1995,10.9,307,16,79,118,116,33,307,12,4,33.3,6,50.0,173,986,399,16,8,7,24,17,188,46,Matches
Dominik Szoboszlai,huHUN,MF,Liverpool,24-110,2000,16.2,1001,12,119,494,402,67,1001,23,13,56.5,9,39.1,531,2837,1599,52,30,15,26,11,692,80,Matches
Matt Targett,engENG,DF,Newcastle Utd,29-147,1995,0.1,8,0,1,4,3,0,8,0,0,,0,,2,5,1,0,0,0,0,0,5,0,Matches
James Tarkowski,engENG,DF,Everton,32-085,1992,22.9,1200,256,674,458,77,39,1200,7,5,71.4,2,28.6,488,2246,1191,4,7,0,9,7,650,3,Matches
Marcus Tavernier,engENG,"FW,MF",Bournemouth,25-327,1999,13.1,693,12,76,263,369,32,693,35,14,40.0,20,57.1,391,2401,1108,29,26,4,23,33,438,83,Matches
Charlie Taylor,engENG,DF,Southampton,31-147,1993,3.0,219,21,93,91,36,1,219,2,2,100.0,0,0.0,91,386,155,3,3,0,1,1,133,6,Matches
