,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Lucas Bergvall,seSWE,MF,Tottenham,19-010,2006,6.7,508,24,116,272,129,6,508,22,11,50.0,7,31.8,301,1867,874,15,8,1,13,10,349,13,Matches
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-058,2002,20.5,1294,96,489,578,236,11,1294,15,6,40.0,8,53.3,659,3068,1437,29,15,4,8,12,714,51,Matches
Beto,gwGNB,FW,Everton,27-012,1998,4.5,135,6,14,55,67,27,135,16,9,56.3,6,37.5,75,444,186,7,4,3,19,9,100,22,Matches
Philip Billing,dkDEN,MF,Bournemouth,28-246,1996,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13,Matches
Yves Bissouma,mlMLI,MF,Tottenham,28-166,1996,11.5,787,52,218,447,128,4,787,18,6,33.3,12,66.7,468,2857,1332,15,17,0,20,9,539,3,Matches
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-038,2004,3.9,233,9,55,145,34,2,233,4,2,50.0,1,25.0,133,754,447,10,6,1,4,7,155,8,Matches
Willy Boly,ciCIV,DF,Nott'ham Forest,34-009,1991,1.5,86,20,58,26,2,1,86,0,0,,0,,33,115,35,0,0,0,1,0,41,0,Matches
Sven Botman,nlNED,DF,Newcastle Utd,25-031,2000,2.5,156,24,63,89,5,5,156,3,1,33.3,1,33.3,82,350,171,0,0,0,1,0,101,0,Matches
Jarrod Bowen,engENG,"FW,MF",West Ham,28-054,1996,19.4,756,19,94,264,415,108,755,83,34,41.0,42,50.6,432,3305,1621,68,29,37,41,43,465,116,Matches
Conor Bradley,nirNIR,DF,Liverpool,21-218,2003,2.9,253,12,77,103,76,18,253,5,3,60.0,2,40.0,129,761,412,12,6,5,4,1,146,15,Matches
Jarrad Branthwaite,engENG,DF,Everton,22-230,2002,14.1,745,93,383,330,36,14,745,4,2,50.0,1,25.0,350,1852,1130,6,11,2,5,2,447,1,Matches
James Bree,engENG,DF,Southampton,27-124,1997,7.4,480,35,149,210,125,10,480,6,3,50.0,1,16.7,257,1166,609,9,9,0,5,3,314,29,Matches
Ben Brereton,clCHI,FW,Southampton,25-300,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches
Nathan Broadhead,wlsWAL,"FW,MF",Ipswich Town,26-313,1998,4.2,175,6,28,86,69,13,175,23,13,56.5,9,39.1,92,742,389,12,9,2,8,8,121,19,Matches
Armando Broja,alALB,FW,Everton,23-155,2001,1.8,65,3,9,19,41,11,65,11,5,45.5,5,45.5,32,403,202,8,5,3,7,7,46,15,Matches
David Brooks,wlsWAL,FW,Bournemouth,27-219,1997,6.4,294,9,35,106,159,26,294,21,8,38.1,10,47.6,183,1284,586,21,14,8,18,6,196,54,Matches
Emi Buendía,arARG,"MF,FW",Aston Villa,28-049,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Matches
Santiago Bueno,uyURU,DF,Wolves,26-095,1998,14.8,803,128,407,382,17,6,803,2,0,0.0,2,100.0,430,2153,1102,1,2,0,2,2,521,1,Matches
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-051,2004,12.7,652,20,100,329,235,27,652,66,22,33.3,40,60.6,362,2219,1043,33,22,7,38,29,399,54,Matches
Cameron Burgess,auAUS,DF,Ipswich Town,29-114,1995,10.0,618,136,360,222,36,19,618,0,0,,0,,307,1454,756,2,3,0,2,0,372,3,Matches
Dan Burn,engENG,DF,Newcastle Utd,32-279,1992,23.0,1447,252,846,536,67,32,1447,2,2,100.0,0,0.0,859,3781,1556,3,2,0,9,2,988,6,Matches
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-081,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches
Moisés Caicedo,ecECU,MF,Chelsea,23-102,2001,23.6,1679,57,363,1015,316,10,1679,34,14,41.2,12,35.3,961,4286,2095,25,19,2,23,15,1186,26,Matches
Tom Cairney,sctSCO,MF,Fulham,34-023,1991,4.4,477,5,62,258,164,7,477,11,4,36.4,3,27.3,329,1591,766,12,15,3,3,3,397,20,Matches
Jens Cajuste,seSWE,MF,Ipswich Town,25-186,1999,11.6,549,30,156,287,114,6,549,21,12,57.1,5,23.8,249,1358,744,16,15,3,11,5,321,8,Matches
Riccardo Calafiori,itITA,DF,Arsenal,22-269,2002,8.4,511,28,150,196,169,20,511,11,8,72.7,2,18.2,233,1236,622,13,8,3,10,4,297,21,Matches
