,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-057,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches,,,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-111,1998,18.5,1549,60,388,659,510,31,1549,21,9,42.9,11,52.4,816,3924,2075,40,29,7,16,13,992,75,Matches,,,,,,
15,Alisson,br BRA,GK,Liverpool,32-116,1992,13.9,444,309,433,11,0,0,444,1,1,100.0,0,0.0,292,1117,661,0,0,0,0,0,274,0,Matches,,,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-351,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches,,,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-094,1997,12.7,772,48,240,422,117,7,772,22,11,50.0,7,31.8,419,2310,1081,14,10,2,16,10,511,13,Matches,,,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-358,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches,,,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-192,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches,,,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-240,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches,,,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-240,1996,12.7,1059,143,560,464,44,9,1059,3,3,100.0,0,0.0,636,2713,1347,6,5,0,2,1,758,1,Matches,,,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-081,2002,16.3,979,54,241,426,329,45,979,51,26,51.0,20,39.2,498,2722,1351,33,23,12,37,21,567,57,Matches,,,,,,
23,André,br BRA,MF,Wolves,23-194,2001,13.6,751,63,231,457,67,1,751,13,6,46.2,5,38.5,382,1611,722,5,8,0,13,11,492,4,Matches,,,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-304,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches,,,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-337,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-166,2001,3.9,200,15,68,103,32,1,200,0,0,,0,,84,290,138,2,0,0,4,2,100,11,Matches,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-189,2001,11.6,275,11,44,121,113,43,274,25,11,44.0,13,52.0,153,791,355,14,4,11,27,18,189,46,Matches,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-334,1993,10.1,431,357,427,4,0,0,431,0,0,,0,,239,1013,528,0,0,0,0,0,224,0,Matches,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-189,1996,15.3,840,28,178,442,229,35,840,38,13,34.2,21,55.3,481,2618,1365,29,20,10,19,13,613,53,Matches,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-351,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-007,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-115,1994,16.0,545,425,537,8,0,0,545,0,0,,0,,305,1564,881,0,0,0,0,0,228,0,Matches,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-018,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-167,1997,2.8,111,3,11,49,52,18,111,4,1,25.0,3,75.0,58,272,132,5,4,2,15,10,73,13,Matches,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-112,2003,14.1,793,39,182,399,225,34,793,35,14,40.0,13,37.1,409,2033,893,19,12,5,26,18,513,50,Matches,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-137,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-137,1991,11.0,462,13,67,236,172,34,461,38,13,34.2,21,55.3,288,1864,808,21,19,2,35,28,320,49,Matches,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-306,2001,2.8,245,16,99,136,11,0,245,1,0,0.0,1,100.0,140,514,288,3,4,0,1,0,178,2,Matches,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-170,1997,10.3,437,13,62,124,260,55,437,44,17,38.6,19,43.2,287,2041,1013,45,19,25,28,22,317,90,Matches,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-023,2004,16.9,920,43,205,542,200,7,920,37,20,54.1,15,40.5,507,2998,1530,27,24,2,23,23,552,17,Matches,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-052,1993,6.2,429,16,68,255,112,17,429,10,8,80.0,2,20.0,254,1377,640,14,13,2,5,8,302,8,Matches,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-048,1997,8.7,374,8,49,128,197,57,374,28,12,42.9,11,39.3,274,2011,1088,42,21,23,16,10,305,82,Matches,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-026,1999,21.0,1537,217,766,701,83,11,1537,17,7,41.2,5,29.4,974,4651,2504,17,12,3,21,5,1071,11,Matches,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-289,1996,18.8,1544,278,802,715,34,11,1544,3,3,100.0,0,0.0,811,2957,1426,4,4,1,8,2,1035,1,Matches,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-213,1998,9.6,379,13,71,153,162,25,379,37,6,16.2,20,54.1,241,1592,700,23,18,7,15,15,265,45,Matches,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-215,1997,7.6,573,25,131,338,110,9,573,8,3,37.5,4,50.0,339,1424,588,7,9,3,4,7,390,8,Matches,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-347,1998,11.6,648,49,196,375,81,6,648,9,5,55.6,4,44.4,353,1831,713,9,9,2,2,9,380,1,Matches,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-359,2006,5.2,433,21,99,233,110,4,433,19,10,52.6,6,31.6,254,1603,769,12,7,1,12,8,304,11,Matches,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-041,2002,18.5,1169,89,448,527,202,8,1169,14,6,42.9,7,50.0,605,2799,1305,27,14,3,6,9,651,44,Matches,,,,,,
50,Beto,gw GNB,FW,Everton,26-361,1998,3.5,104,4,11,41,53,21,104,16,9,56.3,6,37.5,50,361,147,5,5,2,16,6,77,19,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-229,1996,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13,Matches,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-149,1996,10.8,739,50,204,425,116,3,739,18,6,33.3,12,66.7,444,2777,1292,15,15,0,18,7,511,2,Matches,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-021,2004,3.0,173,9,49,101,24,1,173,3,2,66.7,0,0.0,100,517,297,7,5,1,3,6,115,8,Matches,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-358,1991,1.3,80,20,53,25,2,1,80,0,0,,0,,33,115,35,0,0,0,1,0,39,0,Matches,,,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-014,2000,2.5,156,24,63,89,5,5,156,3,1,33.3,1,33.3,82,350,171,0,0,0,1,0,101,0,Matches,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-037,1996,18.4,725,18,84,260,397,97,724,79,33,41.8,40,50.6,416,3227,1594,67,29,36,37,41,453,112,Matches,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-201,2003,2.7,235,12,70,97,70,16,235,4,3,75.0,1,25.0,124,721,379,11,5,4,3,1,141,15,Matches,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-213,2002,13.1,661,87,348,285,33,11,661,4,2,50.0,1,25.0,299,1612,978,6,11,2,5,2,395,1,Matches,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-107,1997,6.4,421,32,128,179,118,9,421,6,3,50.0,1,16.7,223,1035,558,8,9,0,5,3,275,28,Matches,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-283,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches,,,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-296,1998,3.5,132,6,24,65,51,5,132,20,12,60.0,7,35.0,73,630,353,11,8,1,3,5,96,15,Matches,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-138,2001,1.8,65,3,9,19,41,11,65,11,5,45.5,5,45.5,32,403,202,8,5,3,7,7,46,15,Matches,,,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-202,1997,5.6,267,7,33,92,147,26,267,20,8,40.0,10,50.0,169,1192,529,18,12,7,17,5,176,50,Matches,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-032,1996,0.9,71,0,14,32,26,3,71,0,0,,0,,47,147,96,2,5,0,3,3,57,5,Matches,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-078,1998,14.8,797,127,402,382,16,6,797,2,0,0.0,2,100.0,428,2128,1081,1,2,0,2,2,519,1,Matches,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-034,2004,12.6,645,20,99,325,233,27,645,65,21,32.3,40,61.5,359,2214,1043,33,22,7,37,29,397,54,Matches,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-097,1995,10.0,618,136,360,222,36,19,618,0,0,,0,,307,1454,756,2,3,0,2,0,372,3,Matches,,,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-262,1992,22.0,1390,241,820,512,60,28,1390,2,2,100.0,0,0.0,833,3663,1469,3,2,0,6,2,954,3,Matches,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-064,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-085,2001,22.6,1613,54,352,974,302,10,1613,34,14,41.2,12,35.3,906,3962,1916,22,17,2,23,14,1135,25,Matches,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-006,1991,4.3,458,5,61,246,158,7,458,11,4,36.4,3,27.3,314,1543,750,12,15,3,3,3,378,18,Matches,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-169,1999,10.7,495,25,147,252,103,6,495,19,11,57.9,5,26.3,234,1273,699,15,12,3,11,5,294,7,Matches,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-252,2002,8.4,507,28,150,195,166,20,507,11,8,72.7,2,18.2,229,1221,621,13,8,3,10,4,293,20,Matches,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-316,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1397,444,22,8,16,71,32,402,105,Matches,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-317,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-149,2002,4.8,231,4,42,82,108,20,231,14,2,14.3,10,71.4,128,648,329,8,3,0,13,8,135,21,Matches,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-338,1992,9.3,727,47,200,386,145,25,727,5,3,60.0,2,40.0,394,1267,588,3,7,0,6,8,490,19,Matches,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-090,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-172,1997,13.0,664,48,244,275,154,26,664,20,11,55.0,8,40.0,319,1985,932,24,26,4,10,4,376,42,Matches,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-052,1995,8.0,585,42,231,229,125,16,585,7,4,57.1,1,14.3,286,1210,629,12,6,1,4,4,357,29,Matches,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-205,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-205,1999,2.0,154,13,69,70,15,3,154,1,1,100.0,0,0.0,74,287,158,2,1,0,0,0,113,0,Matches,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-345,1997,6.8,281,6,46,141,99,12,281,6,3,50.0,3,50.0,138,697,380,10,7,0,9,3,192,20,Matches,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-093,1997,0.3,23,0,2,11,10,3,23,1,0,0.0,1,100.0,18,67,34,2,0,1,1,3,18,4,Matches,,,,,,
85,Chiquinho,pt POR,MF,Wolves,24-356,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-117,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-339,1995,18.6,1073,62,202,604,286,34,1073,39,17,43.6,19,48.7,568,2955,1359,27,34,5,36,20,606,39,Matches,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-330,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-064,2000,6.7,277,7,62,123,102,18,277,26,17,65.4,6,23.1,154,1114,588,16,9,4,15,11,173,29,Matches,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-296,1991,4.4,199,16,76,91,32,2,199,1,0,0.0,1,100.0,107,463,249,5,2,2,4,2,122,7,Matches,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-336,1993,7.9,497,82,263,225,9,3,497,1,1,100.0,0,0.0,346,1315,677,0,2,1,4,0,373,0,Matches,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-107,1988,2.2,100,11,39,43,19,2,100,5,4,80.0,1,20.0,43,225,109,1,1,0,1,1,51,2,Matches,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-271,2001,22.0,1491,236,800,594,105,43,1491,7,4,57.1,3,42.9,791,4286,2511,19,7,0,9,6,922,13,Matches,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-023,2004,1.2,77,2,22,37,18,1,77,1,1,100.0,0,0.0,44,179,48,0,0,0,5,0,51,2,Matches,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-335,2003,21.0,1768,219,813,890,70,18,1768,6,3,50.0,3,50.0,1035,4877,2872,9,9,0,9,5,1300,4,Matches,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-358,1997,20.6,1206,53,271,649,303,14,1206,11,6,54.5,5,45.5,535,2764,1476,24,18,3,22,13,594,31,Matches,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-121,1996,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches,,,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-157,1992,6.4,382,32,144,147,92,7,382,7,2,28.6,2,28.6,137,704,304,10,4,1,8,5,189,21,Matches,,,,,,
99,Aaron Cresswell,eng ENG,DF,West Ham,35-042,1989,1.3,103,4,35,50,20,1,103,0,0,,0,,39,124,50,1,3,0,1,0,57,1,Matches,,,,,,
100,Marc Cucurella,es ESP,DF,Chelsea,26-188,1998,19.0,1264,67,384,611,274,37,1264,6,1,16.7,5,83.3,526,2248,1374,22,10,1,14,4,797,64,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
101,Jorge Cuenca,es ESP,DF,Fulham,25-070,1999,1.0,52,15,35,17,1,0,52,0,0,,0,,13,47,29,0,0,0,0,0,22,0,Matches,,,,,,
102,Matheus Cunha,br BRA,"MF,FW",Wolves,25-244,1999,19.8,1022,17,133,474,454,91,1021,93,41,44.1,41,44.1,580,4643,2334,79,61,29,53,34,675,118,Matches,,,,,,
103,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-109,1998,2.9,91,5,13,40,40,14,91,5,1,20.0,2,40.0,49,235,105,3,4,1,4,7,56,16,Matches,,,,,,
104,Diogo Dalot,pt POR,DF,Manchester Utd,25-314,1999,20.6,1328,83,448,545,346,36,1328,27,13,48.1,12,44.4,739,3307,1788,38,29,9,25,8,791,97,Matches,,,,,,
105,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-207,2000,17.9,1039,27,202,487,367,37,1039,50,26,52.0,18,36.0,607,3465,1792,40,33,4,30,32,690,70,Matches,,,,,,
106,Danilo,br BRA,MF,Nott'ham Forest,23-272,2001,0.2,6,0,2,4,0,0,6,3,1,33.3,2,66.7,4,26,3,0,0,0,1,0,3,0,Matches,,,,,,
107,Jayden Danns,eng ENG,MF,Liverpool,19-010,2006,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches,,,,,,
108,Ben Davies,wls WAL,DF,Tottenham,31-277,1993,4.0,325,50,173,137,15,2,325,0,0,,0,,179,939,551,3,4,0,1,0,227,4,Matches,,,,,,
109,Leif Davis,eng ENG,DF,Ipswich Town,25-014,2000,22.5,1135,95,418,355,378,34,1135,34,11,32.4,17,50.0,504,2808,1517,38,19,9,29,8,579,95,Matches,,,,,,
110,Craig Dawson,eng ENG,DF,Wolves,34-265,1990,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches,,,,,,
111,Kevin De Bruyne,be BEL,MF,Manchester City,33-212,1991,11.0,870,9,50,293,533,50,870,21,9,42.9,10,47.6,493,2470,1332,35,34,14,16,20,658,99,Matches,,,,,,
112,Liam Delap,eng ENG,FW,Ipswich Town,21-353,2003,18.6,390,20,47,160,194,53,388,53,24,45.3,24,45.3,266,2086,954,35,30,16,67,45,313,68,Matches,,,,,,
113,Sepp van den Berg,nl NED,DF,Brentford,23-037,2001,16.9,921,163,462,346,115,22,921,7,4,57.1,3,42.9,385,1693,801,5,8,0,9,4,514,22,Matches,,,,,,
114,Justin Devenny,nir NIR,MF,Crystal Palace,21-107,2003,3.0,151,4,29,72,53,4,151,2,1,50.0,1,50.0,68,376,182,3,4,1,7,2,89,7,Matches,,,,,,
115,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-142,1998,1.5,99,2,17,50,32,5,99,3,1,33.3,2,66.7,53,281,130,3,0,0,1,3,77,7,Matches,,,,,,
116,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-199,2002,15.7,904,12,140,328,452,100,904,67,33,49.3,31,46.3,576,4045,2095,83,43,46,31,29,632,137,Matches,,,,,,
117,Rúben Dias,pt POR,DF,Manchester City,27-257,1997,13.1,1313,121,425,686,204,15,1313,1,0,0.0,1,100.0,920,5230,3094,19,38,1,3,1,1068,5,Matches,,,,,,
118,Luis Díaz,co COL,FW,Liverpool,28-013,1997,14.9,657,9,49,234,387,95,657,69,28,40.6,33,47.8,431,3212,1643,59,32,32,31,29,517,141,Matches,,,,,,
119,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-320,2006,13.7,573,15,65,261,260,31,573,76,28,36.8,31,40.8,376,3174,1655,51,38,20,31,35,436,70,Matches,,,,,,
120,Lucas Digne,fr FRA,DF,Aston Villa,31-190,1993,18.2,1088,60,370,321,407,24,1088,14,8,57.1,6,42.9,510,2255,984,16,12,3,11,11,605,111,Matches,,,,,,
121,Issa Diop,fr FRA,DF,Fulham,28-017,1997,11.9,733,106,399,317,18,11,733,1,1,100.0,0,0.0,441,2002,1020,4,2,0,7,1,509,1,Matches,,,,,,
122,Axel Disasi,fr FRA,DF,Chelsea,26-321,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2,Matches,,,,,,
123,Roman Dixon,eng ENG,DF,Everton,20-031,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches,,,,,,
124,Matt Doherty,ie IRL,DF,Wolves,33-010,1992,11.9,792,62,292,374,133,21,792,10,6,60.0,3,30.0,395,1827,1013,16,9,3,9,3,490,31,Matches,,,,,,
125,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-244,2002,8.8,536,3,28,115,404,77,536,89,45,50.6,27,30.3,403,3701,2353,104,48,48,30,30,440,147,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,
126,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-212,1998,12.2,710,40,175,365,175,15,710,4,1,25.0,2,50.0,285,1041,465,8,7,2,11,8,402,16,Matches,,,,,,
127,Alfie Dorrington,eng ENG,DF,Tottenham,19-281,2005,0.2,16,0,11,5,0,0,16,0,0,,0,,12,61,26,0,0,0,0,0,13,0,Matches,,,,,,
128,Abdoulaye Doucouré,ml MLI,MF,Everton,32-025,1993,17.7,741,25,168,342,242,25,741,20,11,55.0,9,45.0,381,1934,932,28,18,3,22,25,483,55,Matches,,,,,,
129,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-018,2000,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7,Matches,,,,,,
130,Flynn Downes,eng ENG,MF,Southampton,26-006,1999,15.9,948,67,292,494,166,18,948,11,3,27.3,7,63.6,439,2379,1251,18,14,4,12,14,680,23,Matches,,,,,,
131,Tommy Doyle,eng ENG,MF,Wolves,23-101,2001,4.9,410,17,115,228,69,2,410,8,4,50.0,1,12.5,234,1277,538,6,3,0,6,3,276,2,Matches,,,,,,
132,Radu Drăgușin,ro ROU,DF,Tottenham,22-358,2002,12.9,876,140,467,391,25,9,876,2,0,0.0,0,0.0,567,3076,1590,7,3,0,8,1,607,1,Matches,,,,,,
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-011,1989,8.0,275,206,265,10,0,0,275,0,0,,0,,163,813,515,0,0,0,0,0,143,0,Matches,,,,,,
134,Lewis Dunk,eng ENG,DF,Brighton,33-066,1991,16.4,1508,193,732,705,82,15,1508,1,0,0.0,1,100.0,917,4373,2378,15,13,0,4,3,1093,2,Matches,,,,,,
