,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
Gabriel Magalhães,brBRA,DF,Arsenal,27-055,1997,21.1,3,20,5,25.0,0.95,0.24,0.15,0.60,9.2,0,0,0,2.5,2.5,0.12,+0.5,+0.5,Matches
Edmond-Paris Maghoma,engENG,MF,Brentford,23-280,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harry Maguire,engENG,DF,Manchester Utd,31-344,1993,12.1,0,5,1,20.0,0.41,0.08,0.00,0.00,9.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
Kobbie Mainoo,engENG,MF,Manchester Utd,19-299,2005,14.3,0,10,1,10.0,0.70,0.07,0.00,0.00,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Tyrell Malacia,nlNED,DF,Manchester Utd,25-179,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Donyell Malen,nlNED,FW,Aston Villa,26-034,1999,0.8,0,3,3,100.0,3.86,3.86,0.00,0.00,18.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Orel Mangala,beBEL,MF,Everton,26-331,1998,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Ryan Manning,ieIRL,DF,Southampton,28-243,1996,8.5,0,3,0,0.0,0.35,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Solly March,engENG,"MF,DF",Brighton,30-207,1994,0.3,0,1,0,0.0,3.60,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-005,1999,1.6,0,3,0,0.0,1.87,0.00,0.00,,24.4,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-239,2001,16.2,6,27,14,51.9,1.67,0.86,0.22,0.43,12.6,0,0,0,4.1,4.1,0.15,+1.9,+1.9,Matches
Emiliano Martínez,arARG,GK,Aston Villa,32-163,1992,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lisandro Martínez,arARG,DF,Manchester Utd,27-025,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Pape Matar Sarr,snSEN,MF,Tottenham,22-151,2002,13.9,2,22,11,50.0,1.58,0.79,0.09,0.18,22.4,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-229,1997,20.7,10,46,17,37.0,2.22,0.82,0.17,0.47,15.3,0,2,2,9.7,8.2,0.18,+0.3,-0.2,Matches
Stephy Mavididi,engENG,FW,Leicester City,26-257,1998,14.3,3,20,6,30.0,1.40,0.42,0.15,0.50,15.0,1,0,0,1.5,1.5,0.08,+1.5,+1.5,Matches
Konstantinos Mavropanos,grGRE,DF,West Ham,27-063,1997,15.6,0,14,4,28.6,0.90,0.26,0.00,0.00,16.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-090,1997,20.4,0,10,2,20.0,0.49,0.10,0.00,0.00,20.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Bryan Mbeumo,cmCMR,FW,Brentford,25-189,1999,23.9,14,45,23,51.1,1.88,0.96,0.22,0.43,17.8,4,4,4,7.9,4.8,0.11,+6.1,+5.2,Matches
James Mcatee,engENG,"MF,FW",Manchester City,22-117,2002,1.0,1,4,1,25.0,4.04,1.01,0.25,1.00,14.6,0,0,0,0.8,0.8,0.20,+0.2,+0.2,Matches
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-082,2001,4.3,0,6,2,33.3,1.40,0.47,0.00,0.00,15.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Alex McCarthy,engENG,GK,Southampton,35-071,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John McGinn,sctSCO,"MF,FW",Aston Villa,30-117,1994,15.1,0,20,2,10.0,1.32,0.13,0.00,0.00,16.9,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
Dwight McNeil,engENG,"MF,FW",Everton,25-082,1999,12.7,3,23,8,34.8,1.82,0.63,0.13,0.38,22.0,0,0,0,0.9,0.9,0.04,+2.1,+2.1,Matches
Scott McTominay,sctSCO,MF,Manchester Utd,28-066,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Ben Mee,engENG,DF,Brentford,35-144,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Meghoma,engENG,DF,Brentford,18-229,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikel Merino,esESP,MF,Arsenal,28-235,1996,8.5,2,16,6,37.5,1.88,0.70,0.13,0.33,12.8,0,0,0,2.2,2.2,0.13,-0.2,-0.2,Matches
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-123,1997,23.0,2,22,5,22.7,0.96,0.22,0.09,0.40,12.4,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches
Lewis Miley,engENG,MF,Newcastle Utd,18-287,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Milner,engENG,MF,Brighton,39-039,1986,1.9,0,2,0,0.0,1.07,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Tyrone Mings,engENG,DF,Aston Villa,31-336,1993,5.2,0,3,0,0.0,0.58,0.00,0.00,,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-205,2004,9.3,3,16,6,37.5,1.71,0.64,0.19,0.50,15.0,0,0,0,2.4,2.4,0.15,+0.6,+0.6,Matches
Tyrick Mitchell,engENG,DF,Crystal Palace,25-164,1999,23.2,0,9,2,22.2,0.39,0.09,0.00,0.00,13.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-268,1997,21.0,5,39,16,41.0,1.86,0.76,0.13,0.31,14.5,0,0,0,5.1,5.1,0.13,-0.1,-0.1,Matches
Jakub Moder,plPOL,MF,Brighton,25-311,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikey Moore,engENG,"FW,MF",Tottenham,17-185,2007,2.1,0,3,0,0.0,1.46,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Morato,brBRA,DF,Nott'ham Forest,23-227,2001,5.9,0,1,0,0.0,0.17,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Álex Moreno,esESP,DF,Nott'ham Forest,31-249,1993,9.0,0,6,0,0.0,0.66,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Sam Morsy,egEGY,MF,Ipswich Town,33-155,1991,21.1,1,8,1,12.5,0.38,0.05,0.13,1.00,25.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Yerson Mosquera,coCOL,DF,Wolves,23-286,2001,4.9,0,2,0,0.0,0.41,0.00,0.00,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Mason Mount,engENG,"MF,FW",Manchester Utd,26-033,1999,2.7,0,3,2,66.7,1.09,0.73,0.00,0.00,17.3,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Divin Mubama,engENG,FW,Manchester City,20-110,2004,0.3,0,1,0,0.0,3.21,0.00,0.00,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-038,2001,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
Rodrigo Muniz,brBRA,FW,Fulham,23-284,2001,7.5,4,25,11,44.0,3.35,1.47,0.16,0.36,11.7,0,0,0,3.7,3.7,0.15,+0.3,+0.3,Matches
Daniel Muñoz,coCOL,DF,Crystal Palace,28-262,1996,22.0,2,23,8,34.8,1.04,0.36,0.09,0.25,12.3,0,0,0,3.5,3.5,0.15,-1.5,-1.5,Matches
Arijanet Muric,xkKVX,GK,Ipswich Town,26-097,1998,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Murillo,brBRA,DF,Nott'ham Forest,22-223,2002,22.5,1,18,4,22.2,0.80,0.18,0.06,0.25,24.6,3,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
Jacob Murphy,engENG,FW,Newcastle Utd,29-354,1995,14.9,4,29,10,34.5,1.95,0.67,0.14,0.40,18.9,0,0,0,2.6,2.6,0.09,+1.4,+1.4,Matches
Vitaliy Mykolenko,uaUKR,DF,Everton,25-259,1999,20.2,0,11,0,0.0,0.54,0.00,0.00,,20.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Iliman Ndiaye,snSEN,FW,Everton,24-343,2000,20.6,6,24,10,41.7,1.17,0.49,0.21,0.50,16.5,0,1,1,3.6,2.8,0.12,+2.4,+2.2,Matches
Wilfred Ndidi,ngNGA,MF,Leicester City,28-058,1996,13.5,0,12,6,50.0,0.89,0.44,0.00,0.00,13.6,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
Kosta Nedeljković,rsSRB,DF,Aston Villa,19-058,2005,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reiss Nelson,engENG,FW,Arsenal,25-064,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reiss Nelson,engENG,FW,Fulham,25-064,1999,5.4,1,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Neto,brBRA,GK,Bournemouth,35-208,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Neto,ptPOR,FW,Chelsea,24-340,2000,12.6,2,26,7,26.9,2.07,0.56,0.08,0.29,18.0,0,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
Eddie Nketiah,engENG,"MF,FW",Crystal Palace,25-258,1999,7.0,0,24,7,29.2,3.44,1.00,0.00,0.00,16.5,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
Christopher Nkunku,frFRA,FW,Chelsea,27-090,1997,5.1,2,15,6,40.0,2.92,1.17,0.13,0.33,11.8,0,0,0,4.0,4.0,0.26,-2.0,-2.0,Matches
Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-169,1998,9.9,0,5,1,20.0,0.51,0.10,0.00,0.00,18.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Darwin Núñez,uyURU,FW,Liverpool,25-233,1999,9.2,4,25,10,40.0,2.73,1.09,0.16,0.40,14.5,0,0,0,3.4,3.4,0.14,+0.6,+0.6,Matches
Ethan Nwaneri,engENG,"MF,FW",Arsenal,17-328,2007,3.2,3,9,4,44.4,2.78,1.24,0.33,0.75,19.7,1,0,0,0.5,0.5,0.06,+2.5,+2.5,Matches
Christian Nørgaard,dkDEN,MF,Brentford,30-339,1994,18.8,2,21,7,33.3,1.12,0.37,0.10,0.29,15.3,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches
Jake O'Brien,ieIRL,DF,Everton,23-273,2001,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matt O'Riley,dkDEN,MF,Brighton,24-083,2000,5.2,1,14,4,28.6,2.69,0.77,0.07,0.25,17.3,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Dara O'Shea,ieIRL,DF,Ipswich Town,25-345,1999,20.7,0,13,2,15.4,0.63,0.10,0.00,0.00,11.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Wilson Odobert,frFRA,FW,Tottenham,20-076,2004,1.8,0,6,0,0.0,3.33,0.00,0.00,,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-287,1997,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Caleb Okoli,itITA,DF,Leicester City,23-214,2001,9.2,0,3,1,33.3,0.32,0.11,0.00,0.00,16.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Robin Olsen,seSWE,GK,Aston Villa,35-035,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amadou Onana,beBEL,MF,Aston Villa,23-180,2001,12.0,2,14,4,28.6,1.17,0.33,0.14,0.50,13.8,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches
André Onana,cmCMR,GK,Manchester Utd,28-316,1996,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paul Onuachu,ngNGA,FW,Southampton,30-260,1994,6.0,2,18,8,44.4,2.98,1.32,0.11,0.25,10.1,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
Frank Onyeka,ngNGA,MF,Brentford,27-042,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Orford,engENG,MF,West Ham,18-360,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Stefan Ortega,deGER,GK,Manchester City,32-098,1992,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
William Osula,dkDEN,"FW,MF",Newcastle Utd,21-192,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dango Ouattara,bfBFA,FW,Bournemouth,23-001,2002,13.8,6,37,13,35.1,2.68,0.94,0.16,0.46,12.7,0,0,0,5.8,5.8,0.16,+0.2,+0.2,Matches
Nico O’Reilly,engENG,MF,Manchester City,19-328,2005,0.2,0,1,0,0.0,4.74,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Cole Palmer,engENG,MF,Chelsea,22-282,2002,23.3,14,82,33,40.2,3.52,1.41,0.13,0.33,20.4,11,3,3,12.3,9.9,0.12,+1.7,+1.1,Matches
Emerson Palmieri,itITA,DF,West Ham,30-193,1994,18.1,2,12,6,50.0,0.66,0.33,0.17,0.33,18.1,3,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
Lucas Paquetá,brBRA,"MF,FW",West Ham,27-169,1997,17.9,4,31,3,9.7,1.73,0.17,0.06,0.67,19.0,2,2,2,4.7,3.2,0.10,-0.7,-1.2,Matches
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-244,1993,20.6,3,18,6,33.3,0.87,0.29,0.17,0.50,18.7,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches
Nathan Patterson,sctSCO,"DF,FW",Everton,23-119,2001,1.4,0,1,0,0.0,0.70,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Andreas Pereira,brBRA,MF,Fulham,29-042,1996,14.2,2,25,8,32.0,1.77,0.57,0.08,0.25,22.2,5,0,1,3.0,2.2,0.09,-1.0,-0.2,Matches
Ricardo Pereira,ptPOR,DF,Leicester City,31-129,1993,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kalvin Phillips,engENG,MF,Ipswich Town,29-072,1995,9.6,0,7,1,14.3,0.73,0.10,0.00,0.00,23.6,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-004,2002,3.7,0,7,0,0.0,1.90,0.00,0.00,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Ipswich Town,23-004,2002,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jordan Pickford,engENG,GK,Everton,30-342,1994,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ethan Pinnock,jmJAM,DF,Brentford,31-259,1993,16.0,2,9,6,66.7,0.56,0.37,0.22,0.33,11.2,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches
Daniel Podence,ptPOR,"MF,FW",Wolves,29-114,1995,0.5,0,1,0,0.0,1.87,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Alfie Pond,engENG,DF,Wolves,20-348,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nick Pope,engENG,GK,Newcastle Utd,32-299,1992,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Porro,esESP,DF,Tottenham,25-152,1999,22.1,2,35,8,22.9,1.58,0.36,0.06,0.25,22.8,3,0,0,1.5,1.5,0.04,+0.5,+0.5,Matches
Jarell Quansah,engENG,DF,Liverpool,22-014,2003,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-122,2001,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aaron Ramsdale,engENG,GK,Southampton,26-274,1998,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-260,2001,11.1,1,13,4,30.8,1.17,0.36,0.08,0.25,16.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-104,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,+2.3,+2.3,Matches
David Raya,esESP,GK,Arsenal,29-150,1995,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harrison Reed,engENG,MF,Fulham,30-016,1995,0.7,0,1,0,0.0,1.48,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Remy Rees-Dottin,engENG,FW,Bournemouth,18-343,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergio Reguilón,esESP,DF,Tottenham,28-058,1996,1.4,0,1,0,0.0,0.73,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-010,1993,4.9,1,5,2,40.0,1.02,0.41,0.20,0.50,25.6,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Matches
Chadi Riad,maMAR,DF,Crystal Palace,21-240,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Declan Rice,engENG,MF,Arsenal,26-029,1999,19.3,1,24,7,29.2,1.24,0.36,0.04,0.14,20.8,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
Chris Richards,usUSA,DF,Crystal Palace,24-321,2000,10.9,0,4,3,75.0,0.37,0.28,0.00,0.00,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Richarlison,brBRA,FW,Tottenham,27-278,1997,3.1,2,6,3,50.0,1.94,0.97,0.33,0.67,8.4,0,0,0,1.2,1.2,0.20,+0.8,+0.8,Matches
Andrew Robertson,sctSCO,DF,Liverpool,30-338,1994,18.3,0,6,2,33.3,0.33,0.11,0.00,0.00,15.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Antonee Robinson,usUSA,DF,Fulham,27-188,1997,24.0,0,15,2,13.3,0.62,0.08,0.00,0.00,21.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Rodri,esESP,MF,Manchester City,28-235,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Guido Rodríguez,arARG,MF,West Ham,30-306,1994,11.3,0,8,1,12.5,0.71,0.09,0.00,0.00,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Mads Roerslev,dkDEN,DF,Brentford,25-233,1999,12.2,0,5,2,40.0,0.41,0.16,0.00,0.00,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Morgan Rogers,engENG,"MF,FW",Aston Villa,22-201,2002,21.1,6,37,11,29.7,1.75,0.52,0.16,0.55,17.1,0,0,0,3.8,3.8,0.10,+2.2,+2.2,Matches
Cristian Romero,arARG,DF,Tottenham,26-291,1998,10.8,1,11,4,36.4,1.02,0.37,0.09,0.25,9.4,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
Georginio Rutter,frFRA,"FW,MF",Brighton,22-298,2002,14.1,4,42,9,21.4,2.98,0.64,0.10,0.44,15.4,0,0,0,3.5,3.5,0.08,+0.5,+0.5,Matches
José Sá,ptPOR,GK,Wolves,32-026,1993,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bukayo Saka,engENG,"FW,MF",Arsenal,23-160,2001,14.1,5,45,17,37.8,3.19,1.21,0.09,0.24,15.9,0,1,1,4.2,3.4,0.08,+0.8,+0.6,Matches
Mohamed Salah,egEGY,FW,Liverpool,32-242,1992,22.5,21,84,38,45.2,3.73,1.69,0.18,0.39,14.8,1,6,6,18.1,13.4,0.16,+2.9,+1.6,Matches
William Saliba,frFRA,DF,Arsenal,23-325,2001,21.3,2,3,2,66.7,0.14,0.09,0.67,1.00,2.5,0,0,0,1.9,1.9,0.63,+0.1,+0.1,Matches
Robert Sánchez,esESP,GK,Chelsea,27-086,1997,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jadon Sancho,engENG,FW,Chelsea,24-324,2000,12.4,2,17,4,23.5,1.37,0.32,0.12,0.50,14.5,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-072,1997,2.5,0,1,1,100.0,0.41,0.41,0.00,0.00,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pablo Sarabia,esESP,"MF,FW",Wolves,32-277,1992,4.7,1,8,6,75.0,1.69,1.26,0.13,0.17,16.5,0,0,0,2.3,2.3,0.29,-1.3,-1.3,Matches
Jeremy Sarmiento,ecECU,MF,Brighton,22-241,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,26-353,1998,17.7,4,34,20,58.8,1.92,1.13,0.12,0.20,15.1,0,0,0,4.4,4.4,0.13,-0.4,-0.4,Matches
Sávio,brBRA,"FW,MF",Manchester City,20-308,2004,13.0,1,38,15,39.5,2.92,1.15,0.03,0.07,18.0,1,0,0,3.1,3.1,0.08,-2.1,-2.1,Matches
Oliver Scarles,engENG,DF,West Ham,19-062,2005,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dane Scarlett,engENG,FW,Tottenham,20-325,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kevin Schade,deGER,FW,Brentford,23-077,2001,12.9,6,31,13,41.9,2.39,1.00,0.19,0.46,11.8,0,0,0,4.6,4.6,0.15,+1.4,+1.4,Matches
Fabian Schär,chSUI,DF,Newcastle Utd,33-054,1991,18.8,2,20,6,30.0,1.06,0.32,0.10,0.33,18.8,3,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-051,1992,1.1,0,4,2,50.0,3.50,1.75,0.00,0.00,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Alex Scott,engENG,MF,Bournemouth,21-175,2003,2.9,0,3,1,33.3,1.03,0.34,0.00,0.00,24.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Matz Sels,beBEL,GK,Nott'ham Forest,32-352,1992,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nélson Semedo,ptPOR,DF,Wolves,31-088,1993,18.9,0,9,4,44.4,0.48,0.21,0.00,0.00,25.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Antoine Semenyo,ghGHA,FW,Bournemouth,25-036,2000,22.4,7,91,28,30.8,4.06,1.25,0.08,0.25,16.6,0,0,0,7.5,7.5,0.08,-0.5,-0.5,Matches
Marcos Senesi,arARG,DF,Bournemouth,27-278,1997,10.2,0,2,0,0.0,0.20,0.00,0.00,,6.0,0,0,0,0.8,0.8,0.40,-0.8,-0.8,Matches
Ryan Sessegnon,engENG,"MF,FW",Fulham,24-270,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luke Shaw,engENG,DF,Manchester Utd,29-215,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-218,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-186,1994,21.3,2,25,9,36.0,1.17,0.42,0.08,0.22,12.5,0,0,0,2.9,2.9,0.11,-0.9,-0.9,Matches
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-195,1999,7.9,1,15,3,20.0,1.90,0.38,0.07,0.33,14.2,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-285,2006,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-100,2005,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-240,1999,2.3,1,12,6,50.0,5.19,2.60,0.08,0.17,15.7,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Oliver Skipp,engENG,MF,Leicester City,24-149,2000,8.5,0,3,1,33.3,0.35,0.12,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
William Smallbone,ieIRL,MF,Southampton,24-357,2000,3.6,0,4,0,0.0,1.12,0.00,0.00,,19.3,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Adam Smith,engENG,DF,Bournemouth,33-289,1991,11.5,0,1,0,0.0,0.09,0.00,0.00,,10.2,0,0,0,0.6,0.6,0.60,-0.6,-0.6,Matches
Emile Smith Rowe,engENG,MF,Fulham,24-199,2000,15.9,4,26,7,26.9,1.63,0.44,0.15,0.57,15.8,0,0,0,3.4,3.4,0.13,+0.6,+0.6,Matches
Dominic Solanke,engENG,FW,Tottenham,27-151,1997,17.8,7,46,19,41.3,2.59,1.07,0.15,0.37,12.3,0,0,0,8.5,8.5,0.19,-1.5,-1.5,Matches
