,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
Matty Cash,plPOL,DF,Aston Villa,27-189,1997,14.0,1,6,3,50.0,0.43,0.21,0.17,0.33,16.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Timothy Castagne,beBEL,DF,Fulham,29-069,1995,10.0,0,4,2,50.0,0.40,0.20,0.00,0.00,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Trevoh Chalobah,engENG,DF,Crystal Palace,25-222,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
Trevoh Chalobah,engENG,DF,Chelsea,25-222,1999,2.0,0,2,0,0.0,0.99,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Conor Chaplin,engENG,"MF,FW",Ipswich Town,27-362,1997,6.8,1,12,3,25.0,1.76,0.44,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Federico Chiesa,itITA,FW,Liverpool,27-110,1997,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Chiquinho,ptPOR,MF,Wolves,25-007,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hamza Choudhury,engENG,"MF,DF",Leicester City,27-134,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Christie,sctSCO,MF,Bournemouth,29-356,1995,19.5,1,23,8,34.8,1.18,0.41,0.04,0.13,20.2,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Harry Clarke,engENG,DF,Ipswich Town,23-347,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
