,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
55,Sven Botman,nl NED,DF,Newcastle Utd,25-014,2000,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-037,1996,18.4,76,4.13,44,12,5,9,4,2,9,0.49,5,2,1,1,0,0,Matches,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-201,2003,2.7,7,2.62,4,0,2,0,1,0,1,0.37,1,0,0,0,0,0,Matches,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-213,2002,13.1,10,0.76,9,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-107,1997,6.4,11,1.72,9,2,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-283,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-296,1998,3.5,8,2.26,7,0,1,0,0,0,1,0.28,1,0,0,0,0,0,Matches,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-138,2001,1.8,4,2.26,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-202,1997,5.6,23,4.08,18,2,2,1,0,0,1,0.18,0,0,0,1,0,0,Matches,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-032,1996,0.9,3,3.42,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-078,1998,14.8,10,0.68,9,1,0,0,0,0,3,0.20,3,0,0,0,0,0,Matches,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-034,2004,12.6,44,3.50,24,10,8,1,1,0,4,0.32,1,2,1,0,0,0,Matches,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-097,1995,10.0,6,0.60,6,0,0,0,0,0,2,0.20,2,0,0,0,0,0,Matches,,,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-262,1992,22.0,12,0.55,8,1,0,2,1,0,2,0.09,1,1,0,0,0,0,Matches,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-064,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-085,2001,22.6,60,2.65,53,0,0,0,2,5,6,0.27,5,0,0,0,1,0,Matches,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-006,1991,4.3,23,5.31,21,1,0,0,1,0,2,0.46,2,0,0,0,0,0,Matches,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-169,1999,10.7,14,1.30,11,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-252,2002,8.4,8,0.96,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-316,1997,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-317,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-149,2002,4.8,9,1.88,6,0,1,2,0,0,1,0.21,1,0,0,0,0,0,Matches,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-338,1992,9.3,40,4.31,37,1,0,2,0,0,3,0.32,3,0,0,0,0,0,Matches,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-090,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-172,1997,13.0,10,0.77,10,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-052,1995,8.0,13,1.62,9,0,1,2,1,0,1,0.12,0,0,0,1,0,0,Matches,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-205,1999,11.8,11,0.93,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-205,1999,2.0,4,2.00,2,0,0,2,0,0,1,0.50,0,0,0,1,0,0,Matches,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-345,1997,6.8,18,2.65,17,1,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-093,1997,0.3,3,9.64,3,0,0,0,0,0,1,3.21,1,0,0,0,0,0,Matches,,,,,,
85,Chiquinho,pt POR,MF,Wolves,24-356,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-117,1997,1.5,3,2.05,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-339,1995,18.6,69,3.71,56,7,0,3,2,1,7,0.38,6,1,0,0,0,0,Matches,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-330,2001,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-064,2000,6.7,20,2.98,17,1,2,0,0,0,2,0.30,1,1,0,0,0,0,Matches,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-296,1991,4.4,2,0.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-336,1993,7.9,4,0.51,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-107,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-271,2001,22.0,20,0.91,14,2,1,2,1,0,5,0.23,2,1,0,1,1,0,Matches,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-023,2004,1.2,2,1.64,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-335,2003,21.0,23,1.10,20,2,0,0,0,1,3,0.14,2,0,0,0,0,1,Matches,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-358,1997,20.6,65,3.16,49,15,0,1,0,0,4,0.19,2,1,0,1,0,0,Matches,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-121,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-157,1992,6.4,11,1.72,8,3,0,0,0,0,1,0.16,0,1,0,0,0,0,Matches,,,,,,
99,Aaron Cresswell,eng ENG,DF,West Ham,35-042,1989,1.3,5,3.75,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
100,Marc Cucurella,es ESP,DF,Chelsea,26-188,1998,19.0,32,1.68,29,1,0,2,0,0,2,0.11,2,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
101,Jorge Cuenca,es ESP,DF,Fulham,25-070,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
102,Matheus Cunha,br BRA,"MF,FW",Wolves,25-244,1999,19.8,77,3.88,47,9,11,4,4,2,8,0.40,7,0,1,0,0,0,Matches,,,,,,
103,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-109,1998,2.9,4,1.37,3,0,1,0,0,0,1,0.34,0,0,1,0,0,0,Matches,,,,,,
104,Diogo Dalot,pt POR,DF,Manchester Utd,25-314,1999,20.6,40,1.94,31,4,4,0,0,1,1,0.05,1,0,0,0,0,0,Matches,,,,,,
105,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-207,2000,17.9,69,3.85,50,9,3,2,1,4,15,0.84,9,3,1,0,1,1,Matches,,,,,,
106,Danilo,br BRA,MF,Nott'ham Forest,23-272,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
107,Jayden Danns,eng ENG,MF,Liverpool,19-010,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
108,Ben Davies,wls WAL,DF,Tottenham,31-277,1993,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
109,Leif Davis,eng ENG,DF,Ipswich Town,25-014,2000,22.5,70,3.11,32,31,3,2,1,1,4,0.18,3,0,1,0,0,0,Matches,,,,,,
110,Craig Dawson,eng ENG,DF,Wolves,34-265,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches,,,,,,
111,Kevin De Bruyne,be BEL,MF,Manchester City,33-212,1991,11.0,77,6.98,55,17,1,2,1,1,10,0.91,8,1,0,1,0,0,Matches,,,,,,
112,Liam Delap,eng ENG,FW,Ipswich Town,21-353,2003,18.6,41,2.20,21,0,6,2,10,2,5,0.27,2,0,1,0,2,0,Matches,,,,,,
113,Sepp van den Berg,nl NED,DF,Brentford,23-037,2001,16.9,13,0.77,12,0,0,0,1,0,2,0.12,1,0,0,0,1,0,Matches,,,,,,
114,Justin Devenny,nir NIR,MF,Crystal Palace,21-107,2003,3.0,9,3.02,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
115,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-142,1998,1.5,3,1.99,3,0,0,0,0,0,1,0.66,1,0,0,0,0,0,Matches,,,,,,
116,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-199,2002,15.7,73,4.65,50,7,6,2,4,4,16,1.02,7,0,3,1,1,4,Matches,,,,,,
117,Rúben Dias,pt POR,DF,Manchester City,27-257,1997,13.1,17,1.30,11,0,0,4,0,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
118,Luis Díaz,co COL,FW,Liverpool,28-013,1997,14.9,69,4.64,49,0,11,7,2,0,10,0.67,8,0,1,0,1,0,Matches,,,,,,
119,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-320,2006,13.7,40,2.93,23,1,9,3,4,0,3,0.22,2,0,1,0,0,0,Matches,,,,,,
120,Lucas Digne,fr FRA,DF,Aston Villa,31-190,1993,18.2,47,2.59,29,12,1,4,0,1,4,0.22,4,0,0,0,0,0,Matches,,,,,,
121,Issa Diop,fr FRA,DF,Fulham,28-017,1997,11.9,5,0.42,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
122,Axel Disasi,fr FRA,DF,Chelsea,26-321,1998,4.0,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
123,Roman Dixon,eng ENG,DF,Everton,20-031,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
124,Matt Doherty,ie IRL,DF,Wolves,33-010,1992,11.9,17,1.43,13,2,0,1,1,0,2,0.17,2,0,0,0,0,0,Matches,,,,,,
125,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-244,2002,8.8,40,4.57,32,1,5,1,1,0,8,0.91,7,0,1,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
126,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-212,1998,12.2,15,1.23,9,1,0,2,2,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
127,Alfie Dorrington,eng ENG,DF,Tottenham,19-281,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
128,Abdoulaye Doucouré,ml MLI,MF,Everton,32-025,1993,17.7,32,1.81,30,0,0,1,0,1,1,0.06,0,0,0,0,0,1,Matches,,,,,,
129,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-018,2000,5.0,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches,,,,,,
130,Flynn Downes,eng ENG,MF,Southampton,26-006,1999,15.9,24,1.51,20,2,0,1,0,1,1,0.06,0,1,0,0,0,0,Matches,,,,,,
131,Tommy Doyle,eng ENG,MF,Wolves,23-101,2001,4.9,16,3.24,10,4,1,1,0,0,3,0.61,2,0,1,0,0,0,Matches,,,,,,
132,Radu Drăgușin,ro ROU,DF,Tottenham,22-358,2002,12.9,5,0.39,5,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,,,,,,
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-011,1989,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
134,Lewis Dunk,eng ENG,DF,Brighton,33-066,1991,16.4,16,0.98,14,0,0,2,0,0,3,0.18,2,0,0,1,0,0,Matches,,,,,,
135,Jhon Durán,co COL,FW,Aston Villa,21-044,2003,6.8,17,2.50,8,0,0,4,3,2,1,0.15,0,0,0,0,0,1,Matches,,,,,,
136,Ederson,br BRA,GK,Manchester City,31-162,1993,15.0,4,0.27,4,0,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches,,,,,,
137,George Edmundson,eng ENG,DF,Ipswich Town,27-148,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
138,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-010,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
139,Odsonne Édouard,fr FRA,FW,Leicester City,27-010,1998,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
140,Samuel Edozie,eng ENG,"DF,FW",Southampton,21-364,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
141,Ronnie Edwards,eng ENG,DF,Southampton,21-304,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
142,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-274,2002,15.2,59,3.88,36,11,2,3,7,0,7,0.46,5,1,0,0,1,0,Matches,,,,,,
143,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-297,2003,0.9,5,5.49,3,2,0,0,0,0,2,2.20,2,0,0,0,0,0,Matches,,,,,,
144,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-016,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
145,Julio Enciso,py PAR,MF,Ipswich Town,21-003,2004,0.1,1,7.50,0,1,0,0,0,0,1,7.50,0,1,0,0,0,0,Matches,,,,,,
146,Julio Enciso,py PAR,"MF,FW",Brighton,21-003,2004,3.3,12,3.69,5,1,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
147,Wataru Endo,jp JPN,MF,Liverpool,31-352,1993,0.9,2,2.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
148,Christian Eriksen,dk DEN,MF,Manchester Utd,32-347,1992,7.0,27,3.83,17,10,0,0,0,0,6,0.85,4,2,0,0,0,0,Matches,,,,,,
149,Pervis Estupiñán,ec ECU,DF,Brighton,27-005,1998,15.7,36,2.29,24,9,0,2,1,0,4,0.25,3,0,0,0,1,0,Matches,,,,,,
150,Evanilson,br BRA,FW,Bournemouth,25-112,1999,15.2,42,2.76,25,0,3,6,8,0,7,0.46,1,0,1,1,4,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
151,Jonny Evans,nir NIR,DF,Manchester Utd,37-023,1988,3.2,2,0.62,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
152,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-211,1998,16.6,75,4.53,41,17,5,7,5,0,6,0.36,5,1,0,0,0,0,Matches,,,,,,
153,Łukasz Fabiański,pl POL,GK,West Ham,39-283,1985,11.9,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
154,Wout Faes,be BEL,DF,Leicester City,26-298,1998,16.3,6,0.37,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
155,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-324,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches,,,,,,
156,João Félix,pt POR,"FW,MF",Chelsea,25-077,1999,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0,Matches,,,,,,
