,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29-347,1995,6.7,6,0.90,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-061,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-115,1998,18.5,74,4.00,58,13,1,2,0,0,10,0.54,9,1,0,0,0,0,Matches,,,,,,
15,Alisson,br BRA,GK,Liverpool,32-120,1992,13.9,5,0.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-355,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-098,1997,13.7,22,1.61,19,0,2,1,0,0,2,0.15,2,0,0,0,0,0,Matches,,,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-362,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-196,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-244,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-244,1996,13.7,9,0.66,5,1,0,3,0,0,1,0.07,0,1,0,0,0,0,Matches,,,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-085,2002,16.3,62,3.80,28,16,7,6,2,3,9,0.55,3,3,0,1,1,1,Matches,,,,,,
23,André,br BRA,MF,Wolves,23-198,2001,13.6,23,1.69,18,3,0,0,0,2,2,0.15,1,1,0,0,0,0,Matches,,,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-308,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches,,,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-341,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-170,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-193,2001,11.6,13,1.12,6,0,3,3,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-338,1993,11.1,1,0.09,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-193,1996,15.3,31,2.03,27,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-355,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-011,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-119,1994,16.0,3,0.19,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-022,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-171,1997,2.8,6,2.17,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-116,2003,14.1,40,2.84,20,10,3,3,3,1,4,0.28,3,1,0,0,0,0,Matches,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-141,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-141,1991,12.0,21,1.75,13,4,1,2,0,1,1,0.08,1,0,0,0,0,0,Matches,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-310,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-174,1997,11.0,35,3.19,23,1,6,2,3,0,4,0.36,4,0,0,0,0,0,Matches,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-027,2004,16.9,41,2.43,38,0,1,1,0,1,3,0.18,2,0,0,0,0,1,Matches,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-056,1993,6.2,16,2.60,13,1,2,0,0,0,3,0.49,3,0,0,0,0,0,Matches,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-052,1997,8.7,31,3.55,20,1,3,3,4,0,4,0.46,2,0,1,0,1,0,Matches,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-030,1999,22.0,12,0.55,8,1,2,0,0,1,2,0.09,1,0,0,0,0,1,Matches,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-293,1996,18.8,13,0.69,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-217,1998,9.6,28,2.93,16,1,3,3,3,2,4,0.42,3,0,0,0,0,1,Matches,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-219,1997,8.6,19,2.20,14,0,1,3,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-351,1998,12.6,22,1.74,20,0,0,0,0,2,1,0.08,1,0,0,0,0,0,Matches,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,18-363,2006,6.2,9,1.44,7,2,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-045,2002,19.5,31,1.59,23,5,1,0,2,0,3,0.15,3,0,0,0,0,0,Matches,,,,,,
50,Beto,gw GNB,FW,Everton,26-365,1998,3.5,5,1.42,1,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-233,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-153,1996,10.8,12,1.12,11,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-025,2004,3.0,9,3.03,7,1,0,0,0,1,1,0.34,1,0,0,0,0,0,Matches,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-362,1991,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-018,2000,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-041,1996,18.4,76,4.13,44,12,5,9,4,2,9,0.49,5,2,1,1,0,0,Matches,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-205,2003,2.7,7,2.62,4,0,2,0,1,0,1,0.37,1,0,0,0,0,0,Matches,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-217,2002,13.1,10,0.76,9,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-111,1997,6.4,11,1.72,9,2,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-287,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-300,1998,3.5,8,2.26,7,0,1,0,0,0,1,0.28,1,0,0,0,0,0,Matches,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-142,2001,1.8,4,2.26,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-206,1997,5.6,23,4.08,18,2,2,1,0,0,1,0.18,0,0,0,1,0,0,Matches,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-036,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-082,1998,14.8,10,0.68,9,1,0,0,0,0,3,0.20,3,0,0,0,0,0,Matches,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-038,2004,12.7,44,3.46,24,10,8,1,1,0,4,0.31,1,2,1,0,0,0,Matches,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-101,1995,10.0,6,0.60,6,0,0,0,0,0,2,0.20,2,0,0,0,0,0,Matches,,,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-266,1992,22.0,12,0.55,8,1,0,2,1,0,2,0.09,1,1,0,0,0,0,Matches,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-068,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-089,2001,22.6,61,2.70,54,0,0,0,2,5,6,0.27,5,0,0,0,1,0,Matches,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-010,1991,4.4,23,5.19,21,1,0,0,1,0,2,0.45,2,0,0,0,0,0,Matches,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-173,1999,10.7,14,1.30,11,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-256,2002,8.4,8,0.96,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-320,1997,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-321,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-153,2002,4.8,9,1.88,6,0,1,2,0,0,1,0.21,1,0,0,0,0,0,Matches,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-342,1992,9.3,40,4.31,37,1,0,2,0,0,3,0.32,3,0,0,0,0,0,Matches,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-094,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-176,1997,14.0,14,1.00,13,0,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-056,1995,9.0,14,1.55,10,0,1,2,1,0,1,0.11,0,0,0,1,0,0,Matches,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-209,1999,11.8,11,0.93,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-209,1999,2.0,3,1.50,1,0,0,2,0,0,1,0.50,0,0,0,1,0,0,Matches,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-349,1997,6.8,18,2.65,17,1,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-097,1997,0.3,3,9.64,3,0,0,0,0,0,1,3.21,1,0,0,0,0,0,Matches,,,,,,
85,Chiquinho,pt POR,MF,Wolves,24-360,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-121,1997,1.5,3,2.05,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-343,1995,18.6,69,3.71,56,7,0,3,2,1,7,0.38,6,1,0,0,0,0,Matches,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-334,2001,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-068,2000,6.7,20,2.98,17,1,2,0,0,0,2,0.30,1,1,0,0,0,0,Matches,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-300,1991,4.4,2,0.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-340,1993,8.0,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-111,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-275,2001,23.0,23,1.00,16,2,1,2,2,0,6,0.26,2,1,0,1,2,0,Matches,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-027,2004,1.4,2,1.44,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-339,2003,21.0,23,1.10,20,2,0,0,0,1,3,0.14,2,0,0,0,0,1,Matches,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27-362,1997,20.6,65,3.16,49,15,0,1,0,0,4,0.19,2,1,0,1,0,0,Matches,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-125,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
98,Vladimír Coufal,cz CZE,DF,West Ham,32-161,1992,7.4,13,1.76,9,4,0,0,0,0,1,0.14,0,1,0,0,0,0,Matches,,,,,,
99,Woyo Coulibaly,fr FRA,DF,Leicester City,25-255,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
100,Aaron Cresswell,eng ENG,DF,West Ham,35-046,1989,2.3,7,3.00,3,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
101,Marc Cucurella,es ESP,DF,Chelsea,26-192,1998,19.0,32,1.68,29,1,0,2,0,0,2,0.11,2,0,0,0,0,0,Matches,,,,,,
102,Jorge Cuenca,es ESP,DF,Fulham,25-074,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-248,1999,19.8,77,3.88,47,9,11,4,4,2,8,0.40,7,0,1,0,0,0,Matches,,,,,,
104,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-113,1998,3.1,4,1.30,3,0,1,0,0,0,1,0.33,0,0,1,0,0,0,Matches,,,,,,
105,Diogo Dalot,pt POR,DF,Manchester Utd,25-318,1999,21.6,40,1.85,31,4,4,0,0,1,1,0.05,1,0,0,0,0,0,Matches,,,,,,
106,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-211,2000,18.9,74,3.91,54,10,3,2,1,4,16,0.85,10,3,1,0,1,1,Matches,,,,,,
107,Danilo,br BRA,MF,Nott'ham Forest,23-276,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
108,Jayden Danns,eng ENG,MF,Liverpool,19-014,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
109,Ben Davies,wls WAL,DF,Tottenham,31-281,1993,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
110,Leif Davis,eng ENG,DF,Ipswich Town,25-018,2000,22.5,70,3.11,32,31,3,2,1,1,4,0.18,3,0,1,0,0,0,Matches,,,,,,
111,Craig Dawson,eng ENG,DF,Wolves,34-269,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches,,,,,,
112,Kevin De Bruyne,be BEL,MF,Manchester City,33-216,1991,11.0,77,6.98,55,17,1,2,1,1,10,0.91,8,1,0,1,0,0,Matches,,,,,,
113,Liam Delap,eng ENG,FW,Ipswich Town,21-357,2003,18.6,41,2.20,21,0,6,2,10,2,5,0.27,2,0,1,0,2,0,Matches,,,,,,
114,Sepp van den Berg,nl NED,DF,Brentford,23-041,2001,17.9,13,0.73,12,0,0,0,1,0,2,0.11,1,0,0,0,1,0,Matches,,,,,,
115,Justin Devenny,nir NIR,MF,Crystal Palace,21-111,2003,3.0,9,3.02,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
116,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-146,1998,1.5,3,1.99,3,0,0,0,0,0,1,0.66,1,0,0,0,0,0,Matches,,,,,,
117,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-203,2002,16.7,73,4.37,50,7,6,2,4,4,16,0.96,7,0,3,1,1,4,Matches,,,,,,
118,Rúben Dias,pt POR,DF,Manchester City,27-261,1997,13.1,17,1.30,11,0,0,4,0,2,0,0.00,0,0,0,0,0,0,Matches,,,,,,
119,Luis Díaz,co COL,FW,Liverpool,28-017,1997,14.9,69,4.64,49,0,11,7,2,0,10,0.67,8,0,1,0,1,0,Matches,,,,,,
120,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-324,2006,13.7,40,2.93,23,1,9,3,4,0,3,0.22,2,0,1,0,0,0,Matches,,,,,,
121,Lucas Digne,fr FRA,DF,Aston Villa,31-194,1993,19.2,48,2.50,30,12,1,4,0,1,4,0.21,4,0,0,0,0,0,Matches,,,,,,
122,Issa Diop,fr FRA,DF,Fulham,28-021,1997,11.9,5,0.42,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
123,Axel Disasi,fr FRA,DF,Chelsea,26-325,1998,4.0,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
124,Roman Dixon,eng ENG,DF,Everton,20-035,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
125,Matt Doherty,ie IRL,DF,Wolves,33-014,1992,11.9,17,1.43,13,2,0,1,1,0,2,0.17,2,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
126,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-248,2002,8.8,40,4.57,32,1,5,1,1,0,8,0.91,7,0,1,0,0,0,Matches,,,,,,
127,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-216,1998,12.2,15,1.23,9,1,0,2,2,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
128,Alfie Dorrington,eng ENG,DF,Tottenham,19-285,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
129,Abdoulaye Doucouré,ml MLI,MF,Everton,32-029,1993,17.7,32,1.81,30,0,0,1,0,1,1,0.06,0,0,0,0,0,1,Matches,,,,,,
130,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-022,2000,5.0,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches,,,,,,
131,Flynn Downes,eng ENG,MF,Southampton,26-010,1999,15.9,24,1.51,20,2,0,1,0,1,1,0.06,0,1,0,0,0,0,Matches,,,,,,
132,Tommy Doyle,eng ENG,MF,Wolves,23-105,2001,4.9,16,3.24,10,4,1,1,0,0,3,0.61,2,0,1,0,0,0,Matches,,,,,,
133,Radu Drăgușin,ro ROU,DF,Tottenham,22-362,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-015,1989,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
135,Lewis Dunk,eng ENG,DF,Brighton,33-070,1991,16.4,16,0.98,14,0,0,2,0,0,3,0.18,2,0,0,1,0,0,Matches,,,,,,
136,Jhon Durán,co COL,FW,Aston Villa,21-048,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches,,,,,,
137,Ederson,br BRA,GK,Manchester City,31-166,1993,15.0,4,0.27,4,0,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches,,,,,,
138,George Edmundson,eng ENG,DF,Ipswich Town,27-152,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
139,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-014,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
140,Odsonne Édouard,fr FRA,FW,Leicester City,27-014,1998,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
141,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-002,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
142,Ronnie Edwards,eng ENG,DF,Southampton,21-308,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
143,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-278,2002,15.2,59,3.88,36,11,2,3,7,0,7,0.46,5,1,0,0,1,0,Matches,,,,,,
144,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-301,2003,0.9,5,5.49,3,2,0,0,0,0,2,2.20,2,0,0,0,0,0,Matches,,,,,,
145,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-020,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
146,Julio Enciso,py PAR,MF,Ipswich Town,21-007,2004,0.1,1,7.50,0,1,0,0,0,0,1,7.50,0,1,0,0,0,0,Matches,,,,,,
147,Julio Enciso,py PAR,"MF,FW",Brighton,21-007,2004,3.3,12,3.69,5,1,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
148,Wataru Endo,jp JPN,MF,Liverpool,31-356,1993,0.9,2,2.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
149,Christian Eriksen,dk DEN,MF,Manchester Utd,32-351,1992,7.0,27,3.83,17,10,0,0,0,0,6,0.85,4,2,0,0,0,0,Matches,,,,,,
150,Romain Esse,eng ENG,MF,Crystal Palace,19-262,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
151,Pervis Estupiñán,ec ECU,DF,Brighton,27-009,1998,15.7,36,2.29,24,9,0,2,1,0,4,0.25,3,0,0,0,1,0,Matches,,,,,,
152,Evanilson,br BRA,FW,Bournemouth,25-116,1999,15.2,42,2.76,25,0,3,6,8,0,7,0.46,1,0,1,1,4,0,Matches,,,,,,
153,Jonny Evans,nir NIR,DF,Manchester Utd,37-027,1988,3.2,2,0.62,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
154,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-215,1998,17.6,84,4.78,45,19,6,8,6,0,7,0.40,6,1,0,0,0,0,Matches,,,,,,
155,Łukasz Fabiański,pl POL,GK,West Ham,39-287,1985,11.9,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
156,Wout Faes,be BEL,DF,Leicester City,26-302,1998,17.3,6,0.35,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,,,,,,
