,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
Emil Krafth,seSWE,DF,Newcastle Utd,30-194,1994,2.7,3,1.12,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Mohammed Kudus,ghGHA,"MF,FW",West Ham,24-194,2000,17.4,70,4.03,49,0,11,7,1,2,2,0.12,2,0,0,0,0,0,Matches
Dejan Kulusevski,seSWE,"MF,FW",Tottenham,24-293,2000,21.7,116,5.35,86,12,14,1,3,0,9,0.42,7,1,1,0,0,0,Matches
Maxence Lacroix,frFRA,DF,Crystal Palace,24-312,2000,21.0,20,0.95,16,1,0,3,0,0,4,0.19,2,1,0,1,0,0,Matches
Adam Lallana,engENG,MF,Southampton,36-278,1988,3.8,9,2.38,8,0,0,0,1,0,2,0.53,2,0,0,0,0,0,Matches
Tariq Lamptey,ghGHA,DF,Brighton,24-135,2000,5.8,12,2.08,11,1,0,0,0,0,2,0.35,2,0,0,0,0,0,Matches
Will Lankshear,engENG,"FW,MF",Tottenham,19-298,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roméo Lavia,beBEL,MF,Chelsea,21-037,2004,5.9,11,1.86,11,0,0,0,0,0,2,0.34,2,0,0,0,0,0,Matches
Mario Lemina,gaGAB,"MF,DF",Wolves,31-164,1993,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0,Matches
Bernd Leno,deGER,GK,Fulham,32-345,1992,24.0,4,0.17,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Jefferson Lerma,coCOL,MF,Crystal Palace,30-110,1994,14.4,28,1.95,23,3,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches
Rico Lewis,engENG,"DF,MF",Manchester City,20-083,2004,15.6,26,1.67,25,0,0,0,1,0,2,0.13,2,0,0,0,0,0,Matches
Keane Lewis-Potter,engENG,"DF,FW",Brentford,23-356,2001,21.3,44,2.06,33,0,4,2,4,1,6,0.28,5,0,0,0,1,0,Matches
Myles Lewis-Skelly,engENG,DF,Arsenal,18-139,2006,6.1,5,0.82,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthijs de Ligt,nlNED,DF,Manchester Utd,25-184,1999,17.2,10,0.58,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Lima,brBRA,DF,Wolves,18-226,2006,0.6,3,4.66,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Victor Lindelöf,seSWE,"DF,MF",Manchester Utd,30-210,1994,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesper Lindstrøm,dkDEN,FW,Everton,24-349,2000,9.7,38,3.93,25,7,1,2,2,1,0,0.00,0,0,0,0,0,0,Matches
Valentino Livramento,engENG,DF,Newcastle Utd,22-092,2002,18.3,21,1.15,20,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Sean Longstaff,engENG,MF,Newcastle Utd,27-105,1997,8.0,14,1.75,12,0,1,1,0,0,2,0.25,1,0,0,1,0,0,Matches
Saša Lukić,rsSRB,MF,Fulham,28-183,1996,16.7,30,1.80,21,4,0,3,1,1,2,0.12,1,0,0,1,0,0,Matches
Joe Lumley,engENG,GK,Southampton,29-363,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Massimo Luongo,auAUS,MF,Ipswich Town,32-140,1992,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ian Maatsen,nlNED,DF,Aston Villa,22-339,2002,5.1,30,5.91,22,2,2,3,0,1,5,0.98,5,0,0,0,0,0,Matches
