,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
63,David Brooks,wls WAL,FW,Bournemouth,27-219,1997,6.4,26,4.09,21,2,2,1,0,0,1,0.16,0,0,0,1,0,0,Matches,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-049,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-095,1998,14.8,11,0.74,9,1,0,0,0,1,4,0.27,3,0,0,0,0,1,Matches,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-051,2004,12.7,44,3.46,24,10,8,1,1,0,4,0.31,1,2,1,0,0,0,Matches,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-114,1995,10.0,6,0.60,6,0,0,0,0,0,2,0.20,2,0,0,0,0,0,Matches,,,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-279,1992,23.0,13,0.57,9,1,0,2,1,0,3,0.13,2,1,0,0,0,0,Matches,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-081,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-102,2001,23.6,67,2.84,59,0,0,0,2,6,6,0.25,5,0,0,0,1,0,Matches,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-023,1991,4.4,23,5.19,21,1,0,0,1,0,2,0.45,2,0,0,0,0,0,Matches,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-186,1999,11.6,15,1.29,12,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-269,2002,8.4,8,0.96,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-333,1997,17.5,25,1.43,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-334,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-166,2002,4.8,9,1.85,6,0,1,2,0,0,1,0.21,1,0,0,0,0,0,Matches,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-355,1992,9.3,40,4.31,37,1,0,2,0,0,3,0.32,3,0,0,0,0,0,Matches,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-107,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-189,1997,14.0,14,1.00,13,0,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-069,1995,10.0,15,1.50,11,0,1,2,1,0,1,0.10,0,0,0,1,0,0,Matches,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-222,1999,11.8,11,0.93,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-222,1999,2.0,3,1.49,1,0,0,2,0,0,1,0.50,0,0,0,1,0,0,Matches,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-362,1997,6.8,18,2.65,17,1,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-110,1997,0.3,3,9.64,3,0,0,0,0,0,1,3.21,1,0,0,0,0,0,Matches,,,,,,
85,Chiquinho,pt POR,MF,Wolves,25-007,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-134,1997,1.5,3,2.05,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-356,1995,19.5,71,3.65,58,7,0,3,2,1,7,0.36,6,1,0,0,0,0,Matches,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-347,2001,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-081,2000,6.8,20,2.97,17,1,2,0,0,0,2,0.30,1,1,0,0,0,0,Matches,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-313,1991,4.4,2,0.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-353,1993,8.0,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-124,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-288,2001,24.0,23,0.96,16,2,1,2,2,0,6,0.25,2,1,0,1,2,0,Matches,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-040,2004,1.4,2,1.44,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-352,2003,22.0,25,1.14,22,2,0,0,0,1,3,0.14,2,0,0,0,0,1,Matches,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-009,1997,21.6,67,3.11,51,15,0,1,0,0,4,0.19,2,1,0,1,0,0,Matches,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-138,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,,,,,,
