,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
355,Caleb Okoli,it ITA,DF,Leicester City,23-197,2001,13,9,800,8.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,,,,,,,
356,Robin Olsen,se SWE,GK,Aston Villa,35-018,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
357,Amadou Onana,be BEL,MF,Aston Villa,23-163,2001,16,14,"1,034",11.5,2,0,2,2,0,0,4,0,1.8,1.8,0.1,2.0,12,33,10,0.17,0.00,0.17,0.17,0.17,0.16,0.01,0.17,0.16,0.17,Matches,,,,,,,
358,André Onana,cm CMR,GK,Manchester Utd,28-299,1996,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,,
359,Paul Onuachu,ng NGA,FW,Southampton,30-243,1994,13,5,454,5.0,1,0,1,1,0,0,1,0,1.3,1.3,0.3,1.5,4,6,14,0.20,0.00,0.20,0.20,0.20,0.25,0.05,0.30,0.25,0.30,Matches,,,,,,,
360,Frank Onyeka,ng NGA,MF,Brentford,27-025,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
361,Lewis Orford,eng ENG,MF,West Ham,18-343,2006,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.10,0.08,0.10,Matches,,,,,,,
362,Stefan Ortega,de GER,GK,Manchester City,32-081,1992,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
363,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-175,2003,8,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,
364,Dango Ouattara,bf BFA,FW,Bournemouth,22-350,2002,20,11,"1,151",12.8,6,4,10,6,0,0,1,0,5.8,5.8,3.9,9.6,45,25,124,0.47,0.31,0.78,0.47,0.78,0.45,0.30,0.75,0.45,0.75,Matches,,,,,,,
365,Nico O’Reilly,eng ENG,MF,Manchester City,19-311,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,,,,,,,
366,Cole Palmer,eng ENG,MF,Chelsea,22-265,2002,23,23,"2,010",22.3,14,6,20,11,3,3,3,0,12.0,9.6,7.9,17.6,73,131,122,0.63,0.27,0.90,0.49,0.76,0.54,0.35,0.89,0.43,0.79,Matches,,,,,,,
367,Emerson Palmieri,it ITA,DF,West Ham,30-176,1994,20,19,"1,487",16.5,1,1,2,1,0,0,5,0,1.2,1.2,1.2,2.4,28,43,57,0.06,0.06,0.12,0.06,0.12,0.07,0.07,0.14,0.07,0.14,Matches,,,,,,,
368,Lucas Paquetá,br BRA,MF,West Ham,27-152,1997,21,18,"1,519",16.9,4,0,4,2,2,2,6,0,4.3,2.7,2.0,4.7,11,85,53,0.24,0.00,0.24,0.12,0.12,0.26,0.12,0.37,0.16,0.28,Matches,,,,,,,
369,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-227,1993,22,19,"1,763",19.6,2,2,4,2,0,0,2,0,1.5,1.5,1.6,3.1,17,118,26,0.10,0.10,0.20,0.10,0.20,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,,
370,Nathan Patterson,sct SCO,"DF,FW",Everton,23-102,2001,6,0,126,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,6,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.30,0.05,0.30,Matches,,,,,,,
371,Andreas Pereira,br BRA,MF,Fulham,29-025,1996,19,16,"1,246",13.8,2,1,3,2,0,1,6,0,3.0,2.2,2.2,4.5,13,73,47,0.14,0.07,0.22,0.14,0.22,0.22,0.16,0.38,0.16,0.32,Matches,,,,,,,
372,Ricardo Pereira,pt POR,DF,Leicester City,31-112,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
373,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-055,1995,13,10,861,9.6,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,36,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,,,,,,,
374,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22-353,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches,,,,,,,
375,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,22-353,2002,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
376,Jordan Pickford,eng ENG,GK,Everton,30-325,1994,22,22,"1,980",22.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
377,Ethan Pinnock,jm JAM,DF,Brentford,31-242,1993,16,16,"1,440",16.0,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.13,0.05,0.13,Matches,,,,,,,
378,Daniel Podence,pt POR,"MF,FW",Wolves,29-097,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,
379,Alfie Pond,eng ENG,DF,Wolves,20-331,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
380,Nick Pope,eng ENG,GK,Newcastle Utd,32-282,1992,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
381,Pedro Porro,es ESP,DF,Tottenham,25-135,1999,22,19,"1,808",20.1,2,4,6,2,0,0,2,0,1.3,1.3,2.2,3.5,47,111,74,0.10,0.20,0.30,0.10,0.30,0.06,0.11,0.17,0.06,0.17,Matches,,,,,,,
382,Jarell Quansah,eng ENG,DF,Liverpool,21-363,2003,5,2,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
383,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-105,2001,1,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
384,Aaron Ramsdale,eng ENG,GK,Southampton,26-257,1998,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
385,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-243,2001,14,9,883,9.8,0,2,2,0,0,0,1,0,1.0,1.0,1.6,2.6,32,35,62,0.00,0.20,0.20,0.00,0.20,0.10,0.16,0.26,0.10,0.26,Matches,,,,,,,
386,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-087,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches,,,,,,,
387,David Raya,es ESP,GK,Arsenal,29-133,1995,23,23,"2,070",23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
388,Harrison Reed,eng ENG,MF,Fulham,29-365,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,Matches,,,,,,,
389,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-326,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
390,Sergio Reguilón,es ESP,DF,Tottenham,28-041,1996,2,0,86,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches,,,,,,,
391,Bobby Reid,jm JAM,"FW,MF",Leicester City,31-359,1993,14,2,282,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,7,9,18,0.32,0.00,0.32,0.32,0.32,0.23,0.04,0.27,0.23,0.27,Matches,,,,,,,
392,Chadi Riad,ma MAR,DF,Crystal Palace,21-223,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
393,Declan Rice,eng ENG,MF,Arsenal,26-012,1999,21,19,"1,651",18.3,1,3,4,1,0,0,5,1,1.5,1.5,4.7,6.2,60,125,53,0.05,0.16,0.22,0.05,0.22,0.08,0.26,0.34,0.08,0.34,Matches,,,,,,,
394,Chris Richards,us USA,DF,Crystal Palace,24-304,2000,11,9,805,8.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,21,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,,,,,,,
395,Richarlison,br BRA,FW,Tottenham,27-261,1997,7,0,148,1.6,1,1,2,1,0,0,1,0,0.6,0.6,0.9,1.5,6,7,15,0.61,0.61,1.22,0.61,1.22,0.35,0.54,0.88,0.35,0.88,Matches,,,,,,,
396,Andrew Robertson,sct SCO,DF,Liverpool,30-321,1994,21,19,"1,560",17.3,0,0,0,0,0,0,2,1,0.5,0.5,2.8,3.3,42,122,66,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.19,0.03,0.19,Matches,,,,,,,
397,Antonee Robinson,us USA,DF,Fulham,27-171,1997,22,22,"1,980",22.0,0,9,9,0,0,0,4,0,0.6,0.6,3.1,3.7,77,83,178,0.00,0.41,0.41,0.00,0.41,0.03,0.14,0.17,0.03,0.17,Matches,,,,,,,
398,Rodri,es ESP,MF,Manchester City,28-218,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,,,,,,,
399,Guido Rodríguez,ar ARG,MF,West Ham,30-289,1994,18,14,"1,016",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,,
400,Mads Roerslev,dk DEN,DF,Brentford,25-216,1999,18,10,"1,011",11.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.1,16,47,54,0.00,0.18,0.18,0.00,0.18,0.01,0.26,0.28,0.01,0.28,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
401,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-184,2002,21,21,"1,738",19.3,6,4,10,6,0,0,6,0,3.7,3.7,4.4,8.2,67,71,104,0.31,0.21,0.52,0.31,0.52,0.19,0.23,0.42,0.19,0.42,Matches,,,,,,,
402,Cristian Romero,ar ARG,DF,Tottenham,26-274,1998,12,12,974,10.8,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,10,48,2,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.15,0.10,0.15,Matches,,,,,,,
403,Georginio Rutter,fr FRA,"FW,MF",Brighton,22-281,2002,22,13,"1,177",13.1,4,2,6,4,0,0,2,0,3.3,3.3,1.5,4.9,35,50,63,0.31,0.15,0.46,0.31,0.46,0.25,0.12,0.37,0.25,0.37,Matches,,,,,,,
404,José Sá,pt POR,GK,Wolves,32-009,1993,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,,
405,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-143,2001,16,16,"1,268",14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.30,0.41,0.71,0.24,0.65,Matches,,,,,,,
406,Mohamed Salah,eg EGY,FW,Liverpool,32-225,1992,22,22,"1,942",21.6,19,13,32,14,5,5,1,0,17.3,13.3,9.2,22.5,93,87,286,0.88,0.60,1.48,0.65,1.25,0.80,0.42,1.22,0.62,1.04,Matches,,,,,,,
407,William Saliba,fr FRA,DF,Arsenal,23-308,2001,21,21,"1,829",20.3,2,0,2,2,0,0,2,1,1.9,1.9,0.5,2.4,10,70,2,0.10,0.00,0.10,0.10,0.10,0.09,0.03,0.12,0.09,0.12,Matches,,,,,,,
408,Robert Sánchez,es ESP,GK,Chelsea,27-069,1997,21,21,"1,890",21.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
409,Jadon Sancho,eng ENG,FW,Chelsea,24-307,2000,17,12,"1,062",11.8,2,4,6,2,0,0,1,0,1.4,1.4,2.6,4.0,63,56,131,0.17,0.34,0.51,0.17,0.51,0.11,0.22,0.34,0.11,0.34,Matches,,,,,,,
410,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-055,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches,,,,,,,
411,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-260,1992,9,4,349,3.9,1,0,1,1,0,0,1,0,2.2,2.2,0.5,2.6,8,26,27,0.26,0.00,0.26,0.26,0.26,0.56,0.12,0.68,0.56,0.68,Matches,,,,,,,
412,Jeremy Sarmiento,ec ECU,MF,Brighton,22-224,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
413,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,26-336,1998,22,15,"1,431",15.9,4,3,7,4,0,0,3,0,3.9,3.9,4.7,8.6,40,46,105,0.25,0.19,0.44,0.25,0.44,0.25,0.29,0.54,0.25,0.54,Matches,,,,,,,
414,Sávio,br BRA,"FW,MF",Manchester City,20-291,2004,18,13,"1,080",12.0,1,5,6,1,0,0,2,0,3.0,3.0,4.9,7.9,91,49,144,0.08,0.42,0.50,0.08,0.50,0.25,0.41,0.66,0.25,0.66,Matches,,,,,,,
415,Oliver Scarles,eng ENG,"DF,FW",West Ham,19-045,2005,4,0,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
416,Kevin Schade,de GER,FW,Brentford,23-060,2001,22,10,992,11.0,5,2,7,5,0,0,2,0,4.1,4.1,1.7,5.9,28,20,76,0.45,0.18,0.64,0.45,0.64,0.38,0.16,0.53,0.38,0.53,Matches,,,,,,,
417,Fabian Schär,ch SUI,DF,Newcastle Utd,33-037,1991,19,18,"1,602",17.8,2,0,2,2,0,0,5,1,1.4,1.4,0.3,1.7,10,63,11,0.11,0.00,0.11,0.11,0.11,0.08,0.02,0.09,0.08,0.09,Matches,,,,,,,
418,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-034,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches,,,,,,,
419,Alex Scott,eng ENG,MF,Bournemouth,21-158,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches,,,,,,,
420,Matz Sels,be BEL,GK,Nott'ham Forest,32-335,1992,23,23,"2,070",23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
421,Nélson Semedo,pt POR,DF,Wolves,31-071,1993,19,18,"1,608",17.9,0,3,3,0,0,0,7,0,0.4,0.4,2.2,2.6,38,39,65,0.00,0.17,0.17,0.00,0.17,0.02,0.12,0.15,0.02,0.15,Matches,,,,,,,
422,Antoine Semenyo,gh GHA,FW,Bournemouth,25-019,2000,22,22,"1,926",21.4,7,3,10,7,0,0,5,0,6.9,6.9,4.0,10.9,87,64,186,0.33,0.14,0.47,0.33,0.47,0.32,0.19,0.51,0.32,0.51,Matches,,,,,,,
423,Marcos Senesi,ar ARG,DF,Bournemouth,27-261,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,11,45,3,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,Matches,,,,,,,
424,Ryan Sessegnon,eng ENG,MF,Fulham,24-253,2000,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
425,Luke Shaw,eng ENG,DF,Manchester Utd,29-198,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
426,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19-201,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
427,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-169,1994,22,20,"1,826",20.3,2,4,6,2,0,0,5,0,2.9,2.9,4.0,6.9,74,86,156,0.10,0.20,0.30,0.10,0.30,0.14,0.20,0.34,0.14,0.34,Matches,,,,,,,
428,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-178,1999,22,4,689,7.7,0,1,1,0,0,0,4,0,1.0,1.0,2.5,3.4,16,12,42,0.00,0.13,0.13,0.00,0.13,0.13,0.32,0.45,0.13,0.45,Matches,,,,,,,
429,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-268,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
430,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-083,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
431,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-223,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92,Matches,,,,,,,
432,Oliver Skipp,eng ENG,MF,Leicester City,24-132,2000,14,7,760,8.4,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,13,22,13,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,,,,,,,
433,William Smallbone,ie IRL,MF,Southampton,24-340,2000,7,3,286,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,2,9,15,0.00,0.00,0.00,0.00,0.00,0.10,0.09,0.19,0.10,0.19,Matches,,,,,,,
434,Adam Smith,eng ENG,DF,Bournemouth,33-272,1991,17,12,"1,035",11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,7,31,16,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,,,,,,,
435,Emile Smith Rowe,eng ENG,MF,Fulham,24-182,2000,20,16,"1,282",14.2,4,2,6,4,0,0,1,0,3.3,3.3,1.0,4.3,38,85,78,0.28,0.14,0.42,0.28,0.42,0.23,0.07,0.30,0.23,0.30,Matches,,,,,,,
436,Dominic Solanke,eng ENG,FW,Tottenham,27-134,1997,18,18,"1,598",17.8,7,3,10,7,0,0,0,0,8.5,8.5,2.6,11.0,27,37,71,0.39,0.17,0.56,0.39,0.56,0.48,0.14,0.62,0.48,0.62,Matches,,,,,,,
437,Carlos Soler,es ESP,"MF,FW",West Ham,28-024,1997,17,9,841,9.3,1,1,2,1,0,0,5,0,1.1,1.1,1.0,2.1,9,39,19,0.11,0.11,0.21,0.11,0.21,0.12,0.11,0.23,0.12,0.23,Matches,,,,,,,
438,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-148,1999,14,1,241,2.7,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,10,4,14,0.37,0.00,0.37,0.37,0.37,0.35,0.15,0.51,0.35,0.51,Matches,,,,,,,
439,Tomáš Souček,cz CZE,MF,West Ham,29-334,1995,20,17,"1,525",16.9,5,1,6,5,0,0,6,0,3.5,3.5,1.0,4.5,3,47,39,0.30,0.06,0.35,0.30,0.35,0.21,0.06,0.27,0.21,0.27,Matches,,,,,,,
440,Boubakary Soumaré,fr FRA,MF,Leicester City,25-334,1999,15,11,"1,015",11.3,0,0,0,0,0,0,8,0,0.2,0.2,0.1,0.3,15,46,9,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,,
441,Djed Spence,eng ENG,DF,Tottenham,24-170,2000,10,6,590,6.6,0,1,1,0,0,0,3,1,0.1,0.1,0.9,1.0,20,33,30,0.00,0.15,0.15,0.00,0.15,0.02,0.13,0.15,0.02,0.15,Matches,,,,,,,
442,Jay Stansfield,eng ENG,MF,Fulham,22-063,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
443,Jason Steele,eng ENG,GK,Brighton,34-161,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
444,Jack Stephens,eng ENG,DF,Southampton,30-365,1994,10,10,793,8.8,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,43,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,,,,,,,
445,Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-049,1994,8,3,217,2.4,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1.0,13,12,36,0.00,0.41,0.41,0.00,0.41,0.36,0.07,0.43,0.36,0.43,Matches,,,,,,,
446,Ross Stewart,sct SCO,"FW,MF",Southampton,28-199,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,,,,,,,
447,Jakub Stolarczyk,pl POL,GK,Leicester City,24-038,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
448,John Stones,eng ENG,"DF,MF",Manchester City,30-243,1994,9,4,368,4.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,8,19,1,0.49,0.00,0.49,0.49,0.49,0.11,0.02,0.12,0.11,0.12,Matches,,,,,,,
449,Jørgen Strand Larsen,no NOR,FW,Wolves,24-355,2000,23,22,"1,833",20.4,7,2,9,7,0,0,2,0,6.3,6.3,1.6,7.9,9,18,63,0.34,0.10,0.44,0.34,0.44,0.31,0.08,0.39,0.31,0.39,Matches,,,,,,,
450,Yukinari Sugawara,jp JPN,DF,Southampton,24-212,2000,20,13,"1,156",12.8,1,1,2,1,0,0,3,0,0.4,0.4,2.2,2.6,25,58,57,0.08,0.08,0.16,0.08,0.16,0.03,0.17,0.20,0.03,0.20,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
451,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22-346,2002,11,3,285,3.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,11,5,21,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,,,,,,,
