,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
214,Will Hughes,eng ENG,MF,Crystal Palace,29-284,1995,19,14,"1,240",13.8,0,3,3,0,0,0,7,0,0.8,0.8,1.7,2.5,16,63,19,0.00,0.22,0.22,0.00,0.22,0.06,0.13,0.18,0.06,0.18,Matches,,,,,,,
215,Dean Huijsen,es ESP,DF,Bournemouth,19-287,2005,17,12,"1,154",12.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.3,21,58,3,0.16,0.00,0.16,0.16,0.16,0.11,0.07,0.18,0.11,0.18,Matches,,,,,,,
216,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-088,2003,21,21,"1,775",19.7,2,1,3,2,0,0,4,0,1.6,1.6,2.1,3.8,53,47,90,0.10,0.05,0.15,0.10,0.15,0.08,0.11,0.19,0.08,0.19,Matches,,,,,,,
217,Rasmus Højlund,dk DEN,FW,Manchester Utd,21-357,2003,17,12,"1,032",11.5,2,0,2,2,0,0,1,0,2.4,2.4,1.1,3.5,17,11,48,0.17,0.00,0.17,0.17,0.17,0.21,0.10,0.30,0.21,0.30,Matches,,,,,,,
218,Igor,br BRA,DF,Brighton,26-354,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,,
219,Danny Ings,eng ENG,FW,West Ham,32-187,1992,12,1,247,2.7,1,2,3,1,0,0,0,0,2.1,2.1,1.2,3.3,6,3,22,0.36,0.73,1.09,0.36,1.09,0.76,0.45,1.22,0.76,1.22,Matches,,,,,,,
220,Tim Iroegbunam,eng ENG,MF,Everton,21-210,2003,6,4,383,4.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,10,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,,,,,,,
221,Andy Irving,sct SCO,MF,West Ham,24-258,2000,7,0,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
222,Alexander Isak,se SWE,FW,Newcastle Utd,25-127,1999,21,21,"1,709",19.0,17,5,22,16,1,1,1,0,14.1,13.3,3.7,17.0,58,54,135,0.90,0.26,1.16,0.84,1.11,0.74,0.19,0.94,0.70,0.90,Matches,,,,,,,
223,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-268,1996,22,22,"1,848",20.5,7,3,10,7,0,0,1,0,3.3,3.3,4.7,8.0,87,137,154,0.34,0.15,0.49,0.34,0.49,0.16,0.23,0.39,0.16,0.39,Matches,,,,,,,
