,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-128,1998,22,21,"1,734",19.3,1,6,7,1,0,0,4,0,1.2,1.2,6.4,7.6,41,159,76,0.05,0.31,0.36,0.05,0.36,0.06,0.33,0.39,0.06,0.39,Matches,,,,,,,
15,Alisson,br BRA,GK,Liverpool,32-133,1992,15,15,"1,338",14.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,31-002,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches,,,,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-111,1997,19,14,"1,229",13.7,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,14,55,14,0.00,0.07,0.07,0.00,0.07,0.02,0.06,0.08,0.02,0.08,Matches,,,,,,,
18,Will Alves,eng ENG,FW,Leicester City,20-009,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-209,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches,,,,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-257,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-257,1996,15,15,"1,323",14.7,0,0,0,0,0,0,3,1,0.3,0.3,0.3,0.7,8,63,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches,,,,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-098,2002,23,19,"1,552",17.2,1,5,6,1,0,0,5,0,1.1,1.1,2.8,4.0,32,76,59,0.06,0.29,0.35,0.06,0.35,0.07,0.17,0.23,0.07,0.23,Matches,,,,,,,
23,André,br BRA,MF,Wolves,23-211,2001,19,17,"1,312",14.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5,51,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-321,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches,,,,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-354,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-183,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-206,2001,21,10,"1,047",11.6,2,0,2,2,0,1,0,0,4.4,3.6,0.3,4.0,15,11,46,0.17,0.00,0.17,0.17,0.17,0.38,0.03,0.41,0.31,0.34,Matches,,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-351,1993,13,12,"1,090",12.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-206,1996,23,15,"1,465",16.3,3,0,3,3,0,0,1,0,2.6,2.6,1.5,4.0,29,56,54,0.18,0.00,0.18,0.18,0.18,0.16,0.09,0.25,0.16,0.25,Matches,,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-002,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-024,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches,,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-132,1994,17,17,"1,530",17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-035,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-184,1997,19,2,257,2.9,1,0,1,1,0,0,0,0,2.0,2.0,0.1,2.1,5,5,13,0.35,0.00,0.35,0.35,0.35,0.70,0.04,0.74,0.70,0.74,Matches,,,,,,,
35,Yasin Ayari,se SWE,MF,Brighton,21-129,2003,20,14,"1,267",14.1,0,0,0,0,0,0,3,0,1.4,1.4,1.2,2.6,19,45,51,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches,,,,,,,
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-154,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches,,,,,,,
37,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-154,1991,21,13,"1,170",13.0,4,0,4,3,1,1,4,0,2.8,2.0,0.7,2.8,25,25,61,0.31,0.00,0.31,0.23,0.23,0.22,0.05,0.27,0.16,0.21,Matches,,,,,,,
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-323,2001,4,2,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,16,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
39,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-187,1997,20,13,"1,035",11.5,1,2,3,1,0,0,2,0,1.5,1.5,1.5,3.0,51,32,107,0.09,0.17,0.26,0.09,0.26,0.13,0.13,0.26,0.13,0.26,Matches,,,,,,,
40,Carlos Baleba,cm CMR,MF,Brighton,21-040,2004,20,18,"1,520",16.9,2,1,3,2,0,0,7,1,1.3,1.3,0.7,2.0,27,76,17,0.12,0.06,0.18,0.12,0.18,0.08,0.04,0.12,0.08,0.12,Matches,,,,,,,
41,Ross Barkley,eng ENG,MF,Aston Villa,31-069,1993,16,3,554,6.2,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,32,8,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,Matches,,,,,,,
42,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-065,1997,20,6,782,8.7,5,1,6,5,0,0,0,0,3.0,3.0,2.4,5.4,42,41,82,0.58,0.12,0.69,0.58,0.69,0.34,0.28,0.62,0.34,0.62,Matches,,,,,,,
43,Calvin Bassey,ng NGA,DF,Fulham,25-043,1999,23,23,"2,070",23.0,0,0,0,0,0,0,5,0,0.8,0.8,0.1,0.9,19,74,11,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
44,Jan Bednarek,pl POL,DF,Southampton,28-306,1996,20,20,"1,782",19.8,2,0,2,2,0,0,5,0,0.7,0.7,0.5,1.1,4,47,1,0.10,0.00,0.10,0.10,0.10,0.03,0.02,0.06,0.03,0.06,Matches,,,,,,,
45,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-230,1998,22,11,947,10.5,2,2,4,2,0,0,3,0,0.9,0.9,1.0,1.9,25,22,48,0.19,0.19,0.38,0.19,0.38,0.09,0.10,0.18,0.09,0.18,Matches,,,,,,,
46,Rodrigo Bentancur,uy URU,MF,Tottenham,27-232,1997,14,11,868,9.6,2,0,2,2,0,0,5,0,0.8,0.8,0.3,1.2,13,58,12,0.21,0.00,0.21,0.21,0.21,0.09,0.04,0.12,0.09,0.12,Matches,,,,,,,
47,Sander Berge,no NOR,MF,Fulham,26-364,1998,17,13,"1,227",13.6,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.6,14,62,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,,,,,,,
48,Lucas Bergvall,se SWE,MF,Tottenham,19-010,2006,17,5,607,6.7,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,15,32,13,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches,,,,,,,
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-058,2002,21,21,"1,847",20.5,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.6,29,53,51,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.08,0.01,0.08,Matches,,,,,,,
50,Beto,gw GNB,FW,Everton,27-012,1998,15,2,404,4.5,3,0,3,3,0,0,1,0,2.3,2.3,0.0,2.3,7,3,22,0.67,0.00,0.67,0.67,0.67,0.52,0.00,0.52,0.52,0.52,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
51,Philip Billing,dk DEN,MF,Bournemouth,28-246,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.0,1.6,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.51,0.79,0.28,0.79,Matches,,,,,,,
52,Yves Bissouma,ml MLI,MF,Tottenham,28-166,1996,18,12,"1,036",11.5,2,0,2,2,0,0,5,0,0.4,0.4,0.2,0.7,15,66,3,0.17,0.00,0.17,0.17,0.17,0.04,0.02,0.06,0.04,0.06,Matches,,,,,,,
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-038,2004,5,4,349,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,10,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,,,,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,34-009,1991,5,1,134,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-031,2000,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-054,1996,20,20,"1,745",19.4,6,4,10,5,1,1,1,0,4.9,4.1,4.6,8.7,68,62,116,0.31,0.21,0.52,0.26,0.46,0.25,0.23,0.49,0.21,0.45,Matches,,,,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-218,2003,9,1,262,2.9,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,12,11,15,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches,,,,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-230,2002,16,14,"1,268",14.1,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.6,6,34,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
59,James Bree,eng ENG,DF,Southampton,27-124,1997,11,8,665,7.4,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,9,23,29,0.00,0.14,0.14,0.00,0.14,0.01,0.12,0.13,0.01,0.13,Matches,,,,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-300,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches,,,,,,,
61,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-313,1998,9,4,380,4.2,0,0,0,0,0,0,1,0,1.0,1.0,0.5,1.5,12,10,19,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.36,0.23,0.36,Matches,,,,,,,
62,Armando Broja,al ALB,FW,Everton,23-155,2001,5,2,159,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,2,15,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.13,0.06,0.13,Matches,,,,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-219,1997,17,6,572,6.4,2,0,2,2,0,0,3,0,1.6,1.6,1.6,3.2,21,14,54,0.31,0.00,0.31,0.31,0.31,0.25,0.25,0.50,0.25,0.50,Matches,,,,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-049,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches,,,,,,,
65,Santiago Bueno,uy URU,DF,Wolves,26-095,1998,17,15,"1,334",14.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,22,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,
66,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-051,2004,20,12,"1,146",12.7,4,2,6,4,0,0,6,0,3.2,3.2,2.8,6.1,33,41,54,0.31,0.16,0.47,0.31,0.47,0.25,0.22,0.48,0.25,0.48,Matches,,,,,,,
67,Cameron Burgess,au AUS,DF,Ipswich Town,29-114,1995,10,10,900,10.0,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,2,27,3,0.00,0.10,0.10,0.00,0.10,0.07,0.03,0.10,0.07,0.10,Matches,,,,,,,
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-279,1992,23,23,"2,070",23.0,0,0,0,0,0,0,7,0,1.1,1.1,0.2,1.3,3,39,6,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,,,,,,,
69,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-081,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches,,,,,,,
70,Moisés Caicedo,ec ECU,MF,Chelsea,23-102,2001,24,24,"2,125",23.6,1,2,3,1,0,0,6,0,0.6,0.6,2.3,2.8,25,127,26,0.04,0.08,0.13,0.04,0.13,0.02,0.10,0.12,0.02,0.12,Matches,,,,,,,
71,Tom Cairney,sct SCO,MF,Fulham,34-023,1991,17,2,397,4.4,1,0,1,1,0,0,2,1,0.1,0.1,0.7,0.8,12,43,20,0.23,0.00,0.23,0.23,0.23,0.03,0.16,0.19,0.03,0.19,Matches,,,,,,,
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-186,1999,17,14,"1,042",11.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,16,30,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,,,,,,,
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-269,2002,13,8,753,8.4,2,1,3,2,0,0,3,0,0.7,0.7,0.2,0.9,13,36,21,0.24,0.12,0.36,0.24,0.36,0.08,0.03,0.11,0.08,0.11,Matches,,,,,,,
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-333,1997,22,19,"1,574",17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches,,,,,,,
75,Diego Carlos,br BRA,DF,Aston Villa,31-334,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
76,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-166,2002,17,3,435,4.8,1,1,2,1,0,0,1,0,2.4,2.4,0.5,3.0,9,17,22,0.21,0.21,0.41,0.21,0.41,0.50,0.11,0.61,0.50,0.61,Matches,,,,,,,
77,Casemiro,br BRA,MF,Manchester Utd,32-355,1992,14,10,837,9.3,1,0,1,1,0,0,1,0,1.1,1.1,2.1,3.2,3,44,19,0.11,0.00,0.11,0.11,0.11,0.12,0.23,0.34,0.12,0.34,Matches,,,,,,,
78,Kaelan Casey,eng ENG,DF,West Ham,20-107,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
79,Matty Cash,pl POL,DF,Aston Villa,27-189,1997,16,15,"1,258",14.0,1,1,2,1,0,0,5,0,0.2,0.2,1.0,1.2,32,28,46,0.07,0.07,0.14,0.07,0.14,0.02,0.07,0.09,0.02,0.09,Matches,,,,,,,
80,Timothy Castagne,be BEL,DF,Fulham,29-069,1995,14,9,903,10.0,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.2,12,29,35,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.12,0.01,0.12,Matches,,,,,,,
81,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-222,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches,,,,,,,
82,Trevoh Chalobah,eng ENG,DF,Chelsea,25-222,1999,3,2,181,2.0,0,1,1,0,0,0,0,0,0.1,0.1,1.1,1.3,2,6,0,0.00,0.50,0.50,0.00,0.50,0.07,0.56,0.63,0.07,0.63,Matches,,,,,,,
83,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-362,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches,,,,,,,
84,Federico Chiesa,it ITA,FW,Liverpool,27-110,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,4,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches,,,,,,,
85,Chiquinho,pt POR,MF,Wolves,25-007,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches,,,,,,,
86,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-134,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches,,,,,,,
87,Ryan Christie,sct SCO,MF,Bournemouth,29-356,1995,23,21,"1,753",19.5,1,2,3,1,0,0,9,0,1.4,1.4,2.7,4.1,28,113,40,0.05,0.10,0.15,0.05,0.15,0.07,0.14,0.21,0.07,0.21,Matches,,,,,,,
88,Harry Clarke,eng ENG,DF,Ipswich Town,23-347,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,,
89,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-081,2000,19,5,608,6.8,0,2,2,0,0,0,1,0,0.8,0.8,1.2,2.1,16,17,29,0.00,0.30,0.30,0.00,0.30,0.12,0.18,0.31,0.12,0.31,Matches,,,,,,,
90,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-313,1991,11,4,397,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,
91,Conor Coady,eng ENG,DF,Leicester City,31-353,1993,10,8,716,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,,
92,Séamus Coleman,ie IRL,DF,Everton,36-124,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches,,,,,,,
93,Nathan Collins,ie IRL,DF,Brentford,23-288,2001,24,24,"2,160",24.0,2,1,3,2,0,0,2,0,2.2,2.2,1.4,3.5,20,87,16,0.08,0.04,0.12,0.08,0.12,0.09,0.06,0.15,0.09,0.15,Matches,,,,,,,
94,Toby Collyer,eng ENG,MF,Manchester Utd,21-040,2004,4,0,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,,
95,Levi Colwill,eng ENG,DF,Chelsea,21-352,2003,22,22,"1,979",22.0,0,1,1,0,0,0,6,0,0.5,0.5,0.9,1.4,9,100,5,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.06,0.02,0.06,Matches,,,,,,,
96,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-009,1997,23,21,"1,942",21.6,1,3,4,1,0,0,5,0,0.6,0.6,3.3,3.9,26,119,32,0.05,0.14,0.19,0.05,0.19,0.03,0.15,0.18,0.03,0.18,Matches,,,,,,,
97,Maxwel Cornet,ci CIV,FW,Southampton,28-138,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,,,,,,,
