,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
James Bree,engENG,DF,Southampton,27-124,1997,11,8,665,7.4,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,9,23,29,0.00,0.14,0.14,0.00,0.14,0.01,0.12,0.13,0.01,0.13,Matches
Ben Brereton,clCHI,FW,Southampton,25-300,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Nathan Broadhead,wlsWAL,"FW,MF",Ipswich Town,26-313,1998,9,4,380,4.2,0,0,0,0,0,0,1,0,1.0,1.0,0.5,1.5,12,10,19,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.36,0.23,0.36,Matches
Armando Broja,alALB,FW,Everton,23-155,2001,5,2,159,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,2,15,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.13,0.06,0.13,Matches
David Brooks,wlsWAL,FW,Bournemouth,27-219,1997,17,6,572,6.4,2,0,2,2,0,0,3,0,1.6,1.6,1.6,3.2,21,14,54,0.31,0.00,0.31,0.31,0.31,0.25,0.25,0.50,0.25,0.50,Matches
Emi Buendía,arARG,"MF,FW",Aston Villa,28-049,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches
Santiago Bueno,uyURU,DF,Wolves,26-095,1998,17,15,"1,334",14.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,22,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-051,2004,20,12,"1,146",12.7,4,2,6,4,0,0,6,0,3.2,3.2,2.8,6.1,33,41,54,0.31,0.16,0.47,0.31,0.47,0.25,0.22,0.48,0.25,0.48,Matches
Cameron Burgess,auAUS,DF,Ipswich Town,29-114,1995,10,10,900,10.0,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,2,27,3,0.00,0.10,0.10,0.00,0.10,0.07,0.03,0.10,0.07,0.10,Matches
Dan Burn,engENG,DF,Newcastle Utd,32-279,1992,23,23,"2,070",23.0,0,0,0,0,0,0,7,0,1.1,1.1,0.2,1.3,3,39,6,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
