,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
Son Heung-min,krKOR,FW,Tottenham,32-219,1992,21,19,"1,585",17.6,6,7,13,6,0,1,1,0,5.0,4.3,6.1,10.4,68,86,197,0.34,0.40,0.74,0.34,0.74,0.29,0.35,0.63,0.24,0.59,Matches
James Hill,engENG,"DF,MF",Bournemouth,23-033,2002,5,3,179,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.3,0,9,5,0.00,0.50,0.50,0.00,0.50,0.00,0.13,0.13,0.00,0.13,Matches
Jack Hinshelwood,engENG,"MF,DF",Brighton,19-307,2005,12,11,901,10.0,1,0,1,1,0,0,3,0,0.8,0.8,0.3,1.1,10,36,28,0.10,0.00,0.10,0.10,0.10,0.08,0.03,0.11,0.08,0.11,Matches
George Hirst,engENG,FW,Ipswich Town,25-363,1999,12,1,219,2.4,1,1,2,1,0,0,1,0,1.0,1.0,0.3,1.2,3,8,17,0.41,0.41,0.82,0.41,0.82,0.40,0.11,0.50,0.40,0.50,Matches
Mason Holgate,engENG,"FW,DF",Everton,28-113,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-097,2000,20,18,"1,525",16.9,3,2,5,3,0,0,1,0,1.9,1.9,2.0,3.9,92,49,133,0.18,0.12,0.30,0.18,0.30,0.11,0.12,0.23,0.11,0.23,Matches
Will Hughes,engENG,MF,Crystal Palace,29-301,1995,21,16,"1,410",15.7,0,3,3,0,0,0,8,0,0.8,0.8,1.8,2.6,16,70,21,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.17,0.05,0.17,Matches
Dean Huijsen,esESP,DF,Bournemouth,19-304,2005,18,13,"1,244",13.8,2,0,2,2,0,0,5,0,1.5,1.5,0.8,2.3,22,62,3,0.14,0.00,0.14,0.14,0.14,0.11,0.06,0.17,0.11,0.17,Matches
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-105,2003,22,22,"1,865",20.7,2,1,3,2,0,0,4,0,1.8,1.8,2.2,3.9,55,53,105,0.10,0.05,0.14,0.10,0.14,0.08,0.10,0.19,0.08,0.19,Matches
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-008,2003,19,13,"1,110",12.3,2,0,2,2,0,0,1,0,2.4,2.4,1.1,3.6,18,12,56,0.16,0.00,0.16,0.16,0.16,0.20,0.09,0.29,0.20,0.29,Matches
Igor,brBRA,DF,Brighton,27-005,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Danny Ings,engENG,"FW,MF",West Ham,32-204,1992,14,1,277,3.1,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,26,0.32,0.65,0.97,0.32,0.97,0.74,0.42,1.15,0.74,1.15,Matches
Tim Iroegbunam,engENG,MF,Everton,21-227,2003,7,4,392,4.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,11,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Andy Irving,sctSCO,MF,West Ham,24-275,2000,9,1,165,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.19,0.07,0.19,Matches
Alexander Isak,seSWE,FW,Newcastle Utd,25-144,1999,22,22,"1,799",20.0,17,5,22,16,1,1,1,0,14.1,13.4,3.8,17.1,58,58,142,0.85,0.25,1.10,0.80,1.05,0.71,0.19,0.90,0.67,0.86,Matches
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-285,1996,24,24,"2,016",22.4,7,3,10,7,0,0,1,0,3.3,3.3,4.9,8.2,101,151,167,0.31,0.13,0.45,0.31,0.45,0.15,0.22,0.37,0.15,0.37,Matches
Nicolas Jackson,snSEN,FW,Chelsea,23-237,2001,23,22,"1,736",19.3,9,5,14,9,0,0,5,0,11.4,11.4,4.0,15.4,41,27,94,0.47,0.26,0.73,0.47,0.73,0.59,0.21,0.80,0.59,0.80,Matches
Reece James,engENG,DF,Chelsea,25-066,1999,8,6,484,5.4,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.4,3,29,5,0.19,0.00,0.19,0.19,0.19,0.02,0.04,0.07,0.02,0.07,Matches
Vitaly Janelt,deGER,MF,Brentford,26-278,1998,23,20,"1,718",19.1,1,3,4,1,0,0,3,0,0.6,0.6,2.2,2.8,11,62,29,0.05,0.16,0.21,0.05,0.21,0.03,0.11,0.15,0.03,0.15,Matches
Vitezslav Jaros,czCZE,GK,Liverpool,23-204,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Jebbison,engENG,"FW,MF",Bournemouth,21-183,2003,6,0,59,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,7,0.00,0.00,0.00,0.00,0.00,0.31,0.30,0.62,0.31,0.62,Matches
Mathias Jensen,dkDEN,MF,Brentford,29-042,1996,14,8,704,7.8,0,1,1,0,0,0,1,0,0.2,0.2,1.4,1.7,6,48,21,0.00,0.13,0.13,0.00,0.13,0.03,0.18,0.21,0.03,0.21,Matches
Gabriel Jesus,brBRA,FW,Arsenal,27-315,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches
Raúl Jiménez,mxMEX,FW,Fulham,33-283,1991,24,19,"1,522",16.9,9,2,11,6,3,3,3,0,8.6,6.3,2.4,8.7,25,33,81,0.53,0.12,0.65,0.35,0.47,0.51,0.14,0.65,0.37,0.51,Matches
Kim Jisoo,krKOR,DF,Brentford,20-050,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Pedro,brBRA,"FW,MF",Brighton,23-139,2001,18,16,"1,340",14.9,5,5,10,4,1,1,3,0,4.0,3.2,2.6,5.8,51,51,94,0.34,0.34,0.67,0.27,0.60,0.27,0.18,0.44,0.21,0.39,Matches
Joelinton,brBRA,"MF,FW",Newcastle Utd,28-182,1996,23,23,"1,914",21.3,4,1,5,4,0,0,9,0,3.7,3.7,1.6,5.2,33,98,96,0.19,0.05,0.24,0.19,0.24,0.17,0.07,0.25,0.17,0.25,Matches
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-019,2000,14,8,828,9.2,0,1,1,0,0,0,2,0,0.4,0.4,0.6,1.0,10,17,18,0.00,0.11,0.11,0.00,0.11,0.04,0.07,0.11,0.04,0.11,Matches
Brennan Johnson,wlsWAL,FW,Tottenham,23-265,2001,21,16,"1,492",16.6,7,2,9,7,0,0,3,0,8.0,8.0,1.3,9.3,46,50,153,0.42,0.12,0.54,0.42,0.54,0.48,0.08,0.56,0.48,0.56,Matches
Sam Johnstone,engENG,GK,Wolves,31-324,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Curtis Jones,engENG,MF,Liverpool,24-013,2001,19,10,926,10.3,3,3,6,3,0,0,1,0,3.3,3.3,0.4,3.7,12,59,49,0.29,0.29,0.58,0.29,0.58,0.32,0.04,0.36,0.32,0.36,Matches
Jorginho,itITA,MF,Arsenal,33-054,1991,10,6,459,5.1,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.5,8,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
Diogo Jota,ptPOR,FW,Liverpool,28-070,1996,13,7,629,7.0,5,2,7,5,0,0,1,0,4.9,4.9,1.1,6.0,24,18,54,0.72,0.29,1.00,0.72,1.00,0.70,0.16,0.86,0.70,0.86,Matches
James Justin,engENG,DF,Leicester City,26-355,1998,23,23,"1,977",22.0,2,1,3,2,0,0,3,0,1.4,1.4,0.5,1.9,31,57,64,0.09,0.05,0.14,0.09,0.14,0.06,0.02,0.09,0.06,0.09,Matches
Filip Jørgensen,dkDEN,GK,Chelsea,22-302,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-128,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches
Daichi Kamada,jpJPN,MF,Crystal Palace,28-191,1996,20,10,933,10.4,0,0,0,0,0,0,2,1,0.7,0.7,1.0,1.7,16,56,38,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.17,0.07,0.17,Matches
Boubacar Kamara,frFRA,MF,Aston Villa,25-081,1999,15,12,"1,036",11.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,11,57,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches
Michael Kayode,itITA,DF,Brentford,20-217,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.90,0.00,0.90,Matches
Michael Keane,engENG,DF,Everton,32-032,1993,10,9,813,9.0,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,1,12,3,0.22,0.00,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06,Matches
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-081,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lloyd Kelly,engENG,DF,Newcastle Utd,26-129,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches
Milos Kerkez,huHUN,DF,Bournemouth,21-097,2003,24,24,"2,087",23.2,2,3,5,2,0,0,3,0,0.4,0.4,2.9,3.2,60,107,115,0.09,0.13,0.22,0.09,0.22,0.02,0.12,0.14,0.02,0.14,Matches
Bilal El Khannouss,maMAR,MF,Leicester City,20-278,2004,19,14,"1,095",12.2,2,1,3,2,0,0,1,0,0.5,0.5,1.8,2.3,29,63,41,0.16,0.08,0.25,0.16,0.25,0.04,0.15,0.19,0.04,0.19,Matches
Abdukodir Khusanov,uzUZB,DF,Manchester City,20-349,2004,1,1,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Max Kilman,engENG,DF,West Ham,27-265,1997,24,24,"2,088",23.2,0,1,1,0,0,0,3,0,1.4,1.4,0.9,2.3,20,89,3,0.00,0.04,0.04,0.00,0.04,0.06,0.04,0.10,0.06,0.10,Matches
Joshua King,engENG,"MF,FW",Fulham,18-040,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.48,0.70,0.22,0.70,Matches
Antonín Kinský,czCZE,GK,Tottenham,21-336,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Jakub Kiwior,plPOL,DF,Arsenal,24-363,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-283,1999,23,19,"1,530",17.0,11,4,15,5,6,6,6,0,8.8,4.1,3.0,7.1,47,64,104,0.65,0.24,0.88,0.29,0.53,0.52,0.18,0.70,0.24,0.42,Matches
Ibrahima Konaté,frFRA,DF,Liverpool,25-263,1999,17,16,"1,399",15.5,1,2,3,1,0,0,4,0,1.0,1.0,0.8,1.8,16,69,1,0.06,0.13,0.19,0.06,0.19,0.06,0.05,0.11,0.06,0.11,Matches
Ezri Konsa,engENG,DF,Aston Villa,27-112,1997,22,22,"1,901",21.1,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,14,56,11,0.05,0.00,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches
Mateo Kovačić,hrCRO,MF,Manchester City,30-282,1994,20,18,"1,545",17.2,4,1,5,4,0,0,5,0,1.4,1.4,3.4,4.8,43,109,14,0.23,0.06,0.29,0.23,0.29,0.08,0.20,0.28,0.08,0.28,Matches
Caleb Kporha,engENG,DF,Crystal Palace,18-212,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Emil Krafth,seSWE,DF,Newcastle Utd,30-194,1994,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
Mohammed Kudus,ghGHA,"MF,FW",West Ham,24-194,2000,19,19,"1,563",17.4,3,1,4,3,0,0,0,1,4.8,4.8,2.0,6.7,61,48,141,0.17,0.06,0.23,0.17,0.23,0.28,0.11,0.39,0.28,0.39,Matches
Dejan Kulusevski,seSWE,"MF,FW",Tottenham,24-293,2000,24,22,"1,950",21.7,6,4,10,6,0,0,3,0,3.7,3.7,5.7,9.4,110,106,184,0.28,0.18,0.46,0.28,0.46,0.17,0.26,0.43,0.17,0.43,Matches
Maxence Lacroix,frFRA,DF,Crystal Palace,24-312,2000,21,21,"1,890",21.0,1,1,2,1,0,0,4,0,1.8,1.8,0.3,2.1,7,47,2,0.05,0.05,0.10,0.05,0.10,0.09,0.01,0.10,0.09,0.10,Matches
Adam Lallana,engENG,MF,Southampton,36-278,1988,13,5,341,3.8,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,5,23,10,0.00,0.53,0.53,0.00,0.53,0.04,0.24,0.28,0.04,0.28,Matches
Tariq Lamptey,ghGHA,DF,Brighton,24-135,2000,10,6,519,5.8,2,2,4,2,0,0,0,0,0.4,0.4,0.4,0.8,21,10,34,0.35,0.35,0.69,0.35,0.69,0.06,0.08,0.14,0.06,0.14,Matches
Will Lankshear,engENG,"FW,MF",Tottenham,19-298,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Roméo Lavia,beBEL,MF,Chelsea,21-037,2004,10,8,532,5.9,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,17,6,0.00,0.17,0.17,0.00,0.17,0.03,0.12,0.15,0.03,0.15,Matches
Mario Lemina,gaGAB,"MF,DF",Wolves,31-164,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
Bernd Leno,deGER,GK,Fulham,32-345,1992,24,24,"2,160",24.0,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
Jefferson Lerma,coCOL,MF,Crystal Palace,30-110,1994,19,15,"1,293",14.4,0,0,0,0,0,0,4,0,0.8,0.8,1.4,2.1,8,66,23,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.15,0.05,0.15,Matches
Rico Lewis,engENG,"DF,MF",Manchester City,20-083,2004,19,16,"1,402",15.6,1,2,3,1,0,0,5,1,1.2,1.2,0.3,1.5,32,80,57,0.06,0.13,0.19,0.06,0.19,0.07,0.02,0.10,0.07,0.10,Matches
Keane Lewis-Potter,engENG,"DF,FW",Brentford,23-356,2001,24,22,"1,919",21.3,1,2,3,1,0,0,4,0,2.3,2.3,1.5,3.8,66,60,108,0.05,0.09,0.14,0.05,0.14,0.11,0.07,0.18,0.11,0.18,Matches
Myles Lewis-Skelly,engENG,DF,Arsenal,18-139,2006,10,7,551,6.1,1,0,1,1,0,0,2,1,0.0,0.0,0.1,0.2,11,27,14,0.16,0.00,0.16,0.16,0.16,0.01,0.02,0.03,0.01,0.03,Matches
Matthijs de Ligt,nlNED,DF,Manchester Utd,25-184,1999,22,18,"1,549",17.2,1,0,1,1,0,0,3,0,1.8,1.8,0.3,2.1,4,37,4,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.12,0.10,0.12,Matches
Pedro Lima,brBRA,DF,Wolves,18-226,2006,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
Victor Lindelöf,seSWE,"DF,MF",Manchester Utd,30-210,1994,5,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Jesper Lindstrøm,dkDEN,FW,Everton,24-349,2000,19,10,873,9.7,0,0,0,0,0,0,1,0,2.0,2.0,1.6,3.6,24,15,57,0.00,0.00,0.00,0.00,0.00,0.21,0.17,0.37,0.21,0.37,Matches
Valentino Livramento,engENG,DF,Newcastle Utd,22-092,2002,23,19,"1,647",18.3,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,44,84,60,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches
Sean Longstaff,engENG,MF,Newcastle Utd,27-105,1997,18,8,721,8.0,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
Saša Lukić,rsSRB,MF,Fulham,28-183,1996,19,18,"1,500",16.7,0,2,2,0,0,0,9,0,0.7,0.7,2.1,2.8,28,61,16,0.00,0.12,0.12,0.00,0.12,0.04,0.13,0.17,0.04,0.17,Matches
Joe Lumley,engENG,GK,Southampton,29-363,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Massimo Luongo,auAUS,MF,Ipswich Town,32-140,1992,6,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ian Maatsen,nlNED,DF,Aston Villa,22-339,2002,18,3,456,5.1,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.7,13,17,45,0.00,0.20,0.20,0.00,0.20,0.03,0.30,0.34,0.03,0.34,Matches
Alexis Mac Allister,arARG,MF,Liverpool,26-050,1998,22,20,"1,630",18.1,1,3,4,1,0,0,6,0,1.9,1.9,3.4,5.3,23,121,53,0.06,0.17,0.22,0.06,0.22,0.10,0.19,0.29,0.10,0.29,Matches
James Maddison,engENG,MF,Tottenham,28-081,1996,22,15,"1,300",14.4,8,4,12,8,0,0,4,0,4.9,4.9,2.7,7.6,34,118,69,0.55,0.28,0.83,0.55,0.83,0.34,0.18,0.53,0.34,0.53,Matches
Noni Madueke,engENG,FW,Chelsea,22-339,2002,22,18,"1,433",15.9,7,3,10,7,0,0,3,0,7.6,7.6,3.5,11.1,107,51,177,0.44,0.19,0.63,0.44,0.63,0.48,0.22,0.70,0.48,0.70,Matches
Gabriel Magalhães,brBRA,DF,Arsenal,27-055,1997,22,22,"1,898",21.1,3,1,4,3,0,0,3,0,2.5,2.5,0.8,3.3,5,94,9,0.14,0.05,0.19,0.14,0.19,0.12,0.04,0.15,0.12,0.15,Matches
Edmond-Paris Maghoma,engENG,MF,Brentford,23-280,2001,5,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Harry Maguire,engENG,DF,Manchester Utd,31-344,1993,17,12,"1,088",12.1,0,0,0,0,0,0,7,0,0.6,0.6,0.2,0.8,4,37,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Kobbie Mainoo,engENG,MF,Manchester Utd,19-299,2005,18,15,"1,285",14.3,0,0,0,0,0,0,5,0,0.5,0.5,1.5,2.0,19,52,35,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.14,0.04,0.14,Matches
Tyrell Malacia,nlNED,DF,Manchester Utd,25-179,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Donyell Malen,nlNED,FW,Aston Villa,26-034,1999,2,0,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
Orel Mangala,beBEL,MF,Everton,26-331,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
Ryan Manning,ieIRL,DF,Southampton,28-243,1996,13,10,761,8.5,0,0,0,0,0,0,1,0,0.1,0.1,1.3,1.5,10,8,51,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.18,0.02,0.18,Matches
Solly March,engENG,"MF,DF",Brighton,30-207,1994,2,0,25,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-005,1999,2,2,144,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,4,3,9,0.00,0.00,0.00,0.00,0.00,0.11,0.34,0.44,0.11,0.44,Matches
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-239,2001,22,16,"1,458",16.2,6,3,9,6,0,0,1,0,4.1,4.1,2.9,6.9,78,28,184,0.37,0.19,0.56,0.37,0.56,0.25,0.18,0.43,0.25,0.43,Matches
Emiliano Martínez,arARG,GK,Aston Villa,32-163,1992,24,24,"2,115",23.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lisandro Martínez,arARG,DF,Manchester Utd,27-025,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
Pape Matar Sarr,snSEN,MF,Tottenham,22-151,2002,24,15,"1,255",13.9,2,2,4,2,0,0,4,0,2.4,2.4,1.3,3.7,22,66,37,0.14,0.14,0.29,0.14,0.29,0.17,0.09,0.26,0.17,0.26,Matches
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-229,1997,24,22,"1,862",20.7,10,1,11,8,2,2,2,0,9.7,8.2,2.1,10.2,27,33,90,0.48,0.05,0.53,0.39,0.44,0.47,0.10,0.57,0.39,0.49,Matches
Stephy Mavididi,engENG,FW,Leicester City,26-257,1998,22,14,"1,290",14.3,3,1,4,3,0,0,2,0,1.5,1.5,2.4,3.9,68,51,103,0.21,0.07,0.28,0.21,0.28,0.11,0.16,0.27,0.11,0.27,Matches
Konstantinos Mavropanos,grGRE,DF,West Ham,27-063,1997,20,15,"1,405",15.6,0,0,0,0,0,0,4,1,0.9,0.9,0.5,1.4,12,46,2,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-090,1997,24,22,"1,833",20.4,0,1,1,0,0,0,1,0,0.5,0.5,0.5,0.9,26,79,41,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.05,0.02,0.05,Matches
Bryan Mbeumo,cmCMR,FW,Brentford,25-189,1999,24,24,"2,154",23.9,14,3,17,10,4,4,2,0,7.9,4.8,5.7,10.4,84,91,233,0.58,0.13,0.71,0.42,0.54,0.33,0.24,0.57,0.20,0.44,Matches
James Mcatee,engENG,"MF,FW",Manchester City,22-117,2002,7,0,89,1.0,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,3,3,8,1.01,0.00,1.01,1.01,1.01,0.80,0.00,0.80,0.80,0.80,Matches
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-082,2001,11,4,386,4.3,0,1,1,0,0,0,1,0,0.6,0.6,0.4,0.9,13,8,36,0.00,0.23,0.23,0.00,0.23,0.13,0.08,0.21,0.13,0.21,Matches
Alex McCarthy,engENG,GK,Southampton,35-071,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
John McGinn,sctSCO,"MF,FW",Aston Villa,30-117,1994,20,17,"1,362",15.1,0,3,3,0,0,0,4,0,1.9,1.9,2.5,4.3,22,62,62,0.00,0.20,0.20,0.00,0.20,0.12,0.16,0.29,0.12,0.29,Matches
Dwight McNeil,engENG,"MF,FW",Everton,25-082,1999,13,13,"1,140",12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Matches
Scott McTominay,sctSCO,MF,Manchester Utd,28-066,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
Ben Mee,engENG,DF,Brentford,35-144,1989,6,2,177,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Meghoma,engENG,DF,Brentford,18-229,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mikel Merino,esESP,MF,Arsenal,28-235,1996,16,8,767,8.5,2,1,3,2,0,0,2,0,2.2,2.2,0.9,3.1,5,42,47,0.23,0.12,0.35,0.23,0.35,0.25,0.11,0.36,0.25,0.36,Matches
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-123,1997,23,23,"2,070",23.0,2,1,3,2,0,0,2,0,3.1,3.1,0.2,3.3,2,37,4,0.09,0.04,0.13,0.09,0.13,0.13,0.01,0.14,0.13,0.14,Matches
Lewis Miley,engENG,MF,Newcastle Utd,18-287,2006,5,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
