,Performance,Aerial Duels,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-021,2004,3.0,1,0,0,5,5,0,0,1,6,0,0,0,8,1,4,20.0,Matches,,,,
54,Willy Boly,ci CIV,DF,Nott'ham Forest,33-358,1991,1.3,1,0,0,1,0,0,0,2,1,0,0,0,2,5,2,71.4,Matches,,,,
55,Sven Botman,nl NED,DF,Newcastle Utd,25-014,2000,2.5,1,0,0,4,2,0,0,4,3,0,0,0,8,9,5,64.3,Matches,,,,
56,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-037,1996,18.4,1,0,0,15,23,5,75,11,15,0,0,0,89,6,22,21.4,Matches,,,,
57,Conor Bradley,nir NIR,DF,Liverpool,21-201,2003,2.7,1,0,0,4,4,0,1,2,2,0,0,0,17,2,1,66.7,Matches,,,,
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-213,2002,13.1,3,0,0,2,7,1,1,16,11,0,0,0,42,17,24,41.5,Matches,,,,
59,James Bree,eng ENG,DF,Southampton,27-107,1997,6.4,0,0,0,1,1,0,17,5,8,0,0,0,34,11,3,78.6,Matches,,,,
60,Ben Brereton,cl CHI,FW,Southampton,25-283,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches,,,,
61,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26-296,1998,3.5,1,0,0,2,7,1,5,3,2,0,0,0,13,0,6,0.0,Matches,,,,
62,Armando Broja,al ALB,FW,Everton,23-138,2001,1.8,1,0,0,4,2,2,1,0,1,0,0,0,5,9,7,56.3,Matches,,,,
63,David Brooks,wls WAL,FW,Bournemouth,27-202,1997,5.6,3,0,0,6,9,0,30,4,1,0,0,0,32,4,8,33.3,Matches,,,,
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-032,1996,0.9,1,0,0,3,6,0,0,0,5,0,0,0,8,0,1,0.0,Matches,,,,
